chart_id	source_id	source_label	target_id	target_label	edge_label	edge_type	confidence	rule_applied	rationale
ecoli_aerobic_respiration	Z	Succinate	AA	Succinate Dehydrogenase sdhABCD		proceeds	med	none	unlabeled process step
ecoli_anaerobic_respiration	A47	ArcA available?	Wait1	Wait for ArcA	No	activates	high	2	Rule2 checkpoint outcome No -> activates
ecoli_anaerobic_respiration	Wait1	Wait for ArcA	A47	ArcA available?		proceeds	high	none	process feeds decision gate
ecoli_biofilm_formation	AV	DGC Diguanylate Cyclases	V	c-di-GMP	Synthesize	produces	high	none	edge label is material production
ecoli_biofilm_formation	AY	Regulatory Integration?	AZ	Stationary Phase	RpoS	activates	med	2	Rule2 named-factor gate branch enables
ecoli_biofilm_formation	AY	Regulatory Integration?	BB	DNA Bending	IHF	activates	med	2	Rule2 named-factor gate branch enables
ecoli_biofilm_formation	AZ	Stationary Phase	K	CsgD Master Regulator		proceeds	med	none	unlabeled process step
ecoli_biofilm_formation	BB	DNA Bending	K	CsgD Master Regulator	Enhances	activates	high	1	Rule1 explicit Activates/+ marker
ecoli_biofilm_formation	BE	Stable Community	BF	Dispersal Signal?		proceeds	high	none	process feeds decision gate
ecoli_biofilm_formation	BF	Dispersal Signal?	BE	Stable Community	No Signal	represses	high	2	Rule2 checkpoint outcome No Signal -> represses
ecoli_biofilm_formation	K	CsgD Master Regulator	AY	Regulatory Integration?		proceeds	high	none	process feeds decision gate
ecoli_biofilm_formation	V	c-di-GMP	AV	DGC Diguanylate Cyclases		proceeds	med	none	unlabeled process step
ecoli_cell_division	A12	Midcell permissive for FtsZ?	Wait1	Wait for proper conditions	No - inhibited	represses	high	1	Rule1 explicit inhibit/repress label
ecoli_cell_division	A13	FtsZ accumulates at midcell	A14	FtsZ monomers bind GTP		proceeds	med	none	unlabeled process step
ecoli_cell_division	A14	FtsZ monomers bind GTP	A15	FtsZ-GTP polymerizes into protofilaments		proceeds	med	none	unlabeled process step
ecoli_cell_division	A15	FtsZ-GTP polymerizes into protofilaments	A16	Protofilaments are short ~30 subunits dynamic		proceeds	med	none	unlabeled process step
ecoli_cell_division	A16	Protofilaments are short ~30 subunits dynamic	A17	Protofilaments tether to membrane		proceeds	med	none	pathway/state advances
ecoli_cell_division	A17	Protofilaments tether to membrane	A18	FtsA binds FtsZ C-terminal peptide		proceeds	med	none	pathway/state advances
ecoli_cell_division	A17	Protofilaments tether to membrane	A20	ZipA binds FtsZ C-terminal peptide		proceeds	med	none	pathway/state advances
ecoli_cell_division	A18	FtsA binds FtsZ C-terminal peptide	A19	FtsA amphipathic helix inserts in membrane		proceeds	med	none	pathway/state advances
ecoli_cell_division	A19	FtsA amphipathic helix inserts in membrane	A22	FtsA and ZipA stabilize FtsZ protofilaments		proceeds	med	none	pathway/state advances
ecoli_cell_division	A20	ZipA binds FtsZ C-terminal peptide	A21	ZipA transmembrane domain anchors to membrane		proceeds	med	none	pathway/state advances
ecoli_cell_division	A21	ZipA transmembrane domain anchors to membrane	A22	FtsA and ZipA stabilize FtsZ protofilaments		proceeds	med	none	pathway/state advances
ecoli_cell_division	A22	FtsA and ZipA stabilize FtsZ protofilaments	A23	Lateral bundling of protofilaments		proceeds	med	none	unlabeled process step
ecoli_cell_division	A23	Lateral bundling of protofilaments	A24	Proto-ring formation - discontinuous structure		proceeds	med	none	unlabeled process step
ecoli_cell_division	A24	Proto-ring formation - discontinuous structure	A25	Z-ring assembled at midcell		proceeds	med	none	unlabeled process step
ecoli_cell_division	A25	Z-ring assembled at midcell	A26	Z-ring maturation checkpoint		proceeds	high	none	process feeds decision gate
ecoli_cell_division	A26	Z-ring maturation checkpoint	A28	Disassembly - restart	Z-ring unstable	activates	high	2	Rule2 gate outcome Z-ring unstable -> activates
ecoli_cell_division	A28	Disassembly - restart	A13	FtsZ accumulates at midcell		proceeds	med	none	unlabeled process step
ecoli_cell_division	A33	Divisome assembly checkpoint	Wait2	Wait for early proteins	Incomplete assembly	activates	high	2	Rule2 checkpoint outcome Incomplete assembly -> activates
ecoli_cell_division	A39	FtsW and FtsI complex formed?	Wait3	Wait for protein availability	No	activates	high	2	Rule2 checkpoint outcome No -> activates
ecoli_cell_division	A47	Z-ring constricts - circumference decreases	A48	Membrane follows Z-ring constriction		proceeds	med	none	pathway/state advances
ecoli_cell_division	A48	Membrane follows Z-ring constriction	A49	Septal peptidoglycan synthesis coupled to constriction		proceeds	med	none	pathway/state advances
ecoli_cell_division	A49	Septal peptidoglycan synthesis coupled to constriction	A50	Chromosome segregation complete?		proceeds	high	none	process feeds decision gate
ecoli_cell_division	A50	Chromosome segregation complete?	A51	Continue constriction	Yes - FtsK done	activates	high	2	Rule2 checkpoint outcome Yes - FtsK done -> activates
ecoli_cell_division	A50	Chromosome segregation complete?	A52	FtsK pumps DNA across septum	No - chromosomes trapped	represses	high	2	Rule2 checkpoint outcome No - chromosomes trapped -> represses
ecoli_cell_division	A51	Continue constriction	A55	Constriction continues		proceeds	med	none	unlabeled process step
ecoli_cell_division	A52	FtsK pumps DNA across septum	A53	FtsK recognizes KOPS DNA sequences		proceeds	med	none	unlabeled process step
ecoli_cell_division	A53	FtsK recognizes KOPS DNA sequences	A54	FtsK translocates DNA toward dif		proceeds	med	none	unlabeled process step
ecoli_cell_division	A54	FtsK translocates DNA toward dif	A51	Continue constriction		proceeds	med	none	unlabeled process step
ecoli_cell_division	A55	Constriction continues	A56	Septal ring diameter decreases		proceeds	med	none	unlabeled process step
ecoli_cell_division	A56	Septal ring diameter decreases	A57	Constriction complete?		proceeds	high	none	process feeds decision gate
ecoli_cell_division	A57	Constriction complete?	A58	Continue synthesis and constriction	No - ring diameter > 0	represses	high	2	Rule2 checkpoint outcome No - ring diameter > 0 -> represses
ecoli_cell_division	A58	Continue synthesis and constriction	A47	Z-ring constricts - circumference decreases		proceeds	med	none	unlabeled process step
ecoli_cell_division	Wait1	Wait for proper conditions	A12	Midcell permissive for FtsZ?		proceeds	high	none	process feeds decision gate
ecoli_cell_division	Wait2	Wait for early proteins	A33	Divisome assembly checkpoint		proceeds	high	none	process feeds decision gate
ecoli_cell_division	Wait3	Wait for protein availability	A39	FtsW and FtsI complex formed?		proceeds	high	none	process feeds decision gate
ecoli_chemotaxis	AB	Tumbling	AD	New Direction?		proceeds	high	none	process feeds decision gate
ecoli_chemotaxis	AC	Smooth Swimming Run	AG	Continue Run?		proceeds	high	none	process feeds decision gate
ecoli_chemotaxis	AD	New Direction?	AE	Reorientation	Random	activates	high	2	Rule2 checkpoint outcome Random -> activates
ecoli_chemotaxis	AE	Reorientation	AF	Gradient Assessment?		proceeds	high	none	process feeds decision gate
ecoli_chemotaxis	AF	Gradient Assessment?	AB	Tumbling	Worse	represses	high	2	Rule2 checkpoint outcome Worse -> represses
ecoli_chemotaxis	AF	Gradient Assessment?	AC	Smooth Swimming Run	Better	activates	high	2	Rule2 checkpoint outcome Better -> activates
ecoli_chemotaxis	AG	Continue Run?	AB	Tumbling	Unfavorable	represses	high	2	Rule2 checkpoint outcome Unfavorable -> represses
ecoli_chemotaxis	AG	Continue Run?	AC	Smooth Swimming Run	Favorable Gradient	activates	high	2	Rule2 checkpoint outcome Favorable Gradient -> activates
ecoli_chemotaxis	AK	Active CheB Methylesterase	AL	Adaptation Mechanism?		proceeds	high	none	process feeds decision gate
ecoli_chemotaxis	AL	Adaptation Mechanism?	AM	Remove Methyl Groups	Demethylation	activates	med	2	Rule2 named-factor gate branch enables
ecoli_chemotaxis	AM	Remove Methyl Groups	AN	MCP Glutamate Residues		proceeds	med	none	unlabeled process step
ecoli_chemotaxis	AN	MCP Glutamate Residues	AO	Reduced Sensitivity		proceeds	med	none	unlabeled process step
ecoli_chemotaxis	AO	Reduced Sensitivity	AU	Adaptation Balance?		proceeds	high	none	process feeds decision gate
ecoli_chemotaxis	AU	Adaptation Balance?	AV	Restored Basal Activity	Equilibrium	activates	high	2	Rule2 checkpoint outcome Equilibrium -> activates
ecoli_chemotaxis	AV	Restored Basal Activity	L	CheA Histidine Kinase		proceeds	med	none	unlabeled process step
ecoli_chemotaxis	BK	Allosteric Coupling?	BL	Coordinated Activity	Team Response	activates	high	2	Rule2 checkpoint outcome Team Response -> activates
ecoli_chemotaxis	BL	Coordinated Activity	O	CheA Autophosphorylation?		proceeds	high	none	process feeds decision gate
ecoli_chemotaxis	L	CheA Histidine Kinase	M	CheW Coupling Protein	Requires	proceeds	med	none	structural dependency advances assembly
ecoli_chemotaxis	M	CheW Coupling Protein	N	Receptor-CheW-CheA Complex		proceeds	med	none	unlabeled process step
ecoli_chemotaxis	N	Receptor-CheW-CheA Complex	BK	Allosteric Coupling?		proceeds	high	none	process feeds decision gate
ecoli_chemotaxis	N	Receptor-CheW-CheA Complex	O	CheA Autophosphorylation?		activates	med	none	regulator changes target capacity
ecoli_chemotaxis	O	CheA Autophosphorylation?	P	CheA~P	High Activity	activates	high	2	Rule2 checkpoint outcome High Activity -> activates
ecoli_chemotaxis	P	CheA~P	R	Phosphotransfer Branch?		proceeds	high	none	process feeds decision gate
ecoli_chemotaxis	R	Phosphotransfer Branch?	T	CheB~P	To CheB	proceeds	med	none	gate routes to branch target
ecoli_chemotaxis	T	CheB~P	AK	Active CheB Methylesterase		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	AA	DnaG Primase Recognition	AB	RNA Primer Synthesis		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	AB	RNA Primer Synthesis	AC	~10 nt RNA Primer		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	AC	~10 nt RNA Primer	AD	DNA Pol III Recognition		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	AD	DNA Pol III Recognition	AE	Okazaki Fragment Synthesis?		proceeds	high	none	process feeds decision gate
ecoli_dna_replication_elongation	AE	Okazaki Fragment Synthesis?	AF	DNA Pol III Core Enzyme α	Initiate	activates	high	2	Rule2 checkpoint outcome Initiate -> activates
ecoli_dna_replication_elongation	AF	DNA Pol III Core Enzyme α	AG	Extension from RNA Primer		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	AG	Extension from RNA Primer	AH	dNTP Incorporation		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	AH	dNTP Incorporation	AI	Synthesis ~1000-2000 nt		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	AI	Synthesis ~1000-2000 nt	AJ	Reach Previous Fragment?		proceeds	high	none	process feeds decision gate
ecoli_dna_replication_elongation	AJ	Reach Previous Fragment?	AH	dNTP Incorporation	No	represses	high	2	Rule2 checkpoint outcome No -> represses
ecoli_dna_replication_elongation	AJ	Reach Previous Fragment?	AK	Pol III Dissociates	Yes	activates	high	2	Rule2 checkpoint outcome Yes -> activates
ecoli_dna_replication_elongation	AK	Pol III Dissociates	AL	DNA Pol I Recognition		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	AL	DNA Pol I Recognition	AM	5'-3' Exonuclease Activity		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	AM	5'-3' Exonuclease Activity	AN	Nick Translation		proceeds	med	none	pathway/state advances
ecoli_dna_replication_elongation	AN	Nick Translation	AO	Remove RNA Primer		proceeds	med	none	pathway/state advances
ecoli_dna_replication_elongation	AO	Remove RNA Primer	AP	Replace with DNA		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	AP	Replace with DNA	AQ	Nick Remaining?		proceeds	high	none	process feeds decision gate
ecoli_dna_replication_elongation	AQ	Nick Remaining?	AR	DNA Ligase	Yes	activates	high	2	Rule2 checkpoint outcome Yes -> activates
ecoli_dna_replication_elongation	AR	DNA Ligase	AS	Seal Phosphodiester Backbone		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	AS	Seal Phosphodiester Backbone	AT	Completed Okazaki Fragment		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	AT	Completed Okazaki Fragment	AU	New Primer Needed?		proceeds	high	none	process feeds decision gate
ecoli_dna_replication_elongation	AU	New Primer Needed?	AA	DnaG Primase Recognition	Yes	activates	high	2	Rule2 checkpoint outcome Yes -> activates
ecoli_dna_replication_elongation	AX	Leading-Lagging Coupling?	AY	Replisome Integrity	Coordinated	activates	high	2	Rule2 checkpoint outcome Coordinated -> activates
ecoli_dna_replication_elongation	AY	Replisome Integrity	AZ	Continue Replication?		proceeds	high	none	process feeds decision gate
ecoli_dna_replication_elongation	AZ	Continue Replication?	BA	Processive Synthesis	Fork Active	proceeds	med	none	pathway/state advances
ecoli_dna_replication_elongation	BA	Processive Synthesis	BC	Obstacles?		proceeds	high	none	process feeds decision gate
ecoli_dna_replication_elongation	BC	Obstacles?	K	Nucleotide Selection	None	represses	high	2	Rule2 checkpoint outcome None -> represses
ecoli_dna_replication_elongation	BH	Both Strands Complete?	BA	Processive Synthesis	No	represses	high	2	Rule2 checkpoint outcome No -> represses
ecoli_dna_replication_elongation	K	Nucleotide Selection	M	Watson-Crick Base Pairing		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	M	Watson-Crick Base Pairing	N	Phosphodiester Bond Formation		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	N	Phosphodiester Bond Formation	O	Pyrophosphate Release		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	O	Pyrophosphate Release	P	DNA Extension +1 Nucleotide		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	P	DNA Extension +1 Nucleotide	Q	Proofreading Check?		proceeds	high	none	process feeds decision gate
ecoli_dna_replication_elongation	Q	Proofreading Check?	R	Continue Synthesis	Correct Base	activates	high	2	Rule2 checkpoint outcome Correct Base -> activates
ecoli_dna_replication_elongation	Q	Proofreading Check?	S	3'-5' Exonuclease ε Subunit	Mismatch	represses	high	2	Rule2 checkpoint outcome Mismatch -> represses
ecoli_dna_replication_elongation	R	Continue Synthesis	U	Beta Clamp Processivity		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	S	3'-5' Exonuclease ε Subunit	T	Excise Incorrect Nucleotide		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	T	Excise Incorrect Nucleotide	K	Nucleotide Selection		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	U	Beta Clamp Processivity	AX	Leading-Lagging Coupling?		proceeds	high	none	process feeds decision gate
ecoli_dna_replication_elongation	U	Beta Clamp Processivity	V	Tau Clamp Loader		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	V	Tau Clamp Loader	AX	Leading-Lagging Coupling?		proceeds	high	none	process feeds decision gate
ecoli_dna_replication_elongation	V	Tau Clamp Loader	W	Maintain Association		proceeds	med	none	unlabeled process step
ecoli_dna_replication_elongation	W	Maintain Association	X	End of Template?		proceeds	high	none	process feeds decision gate
ecoli_dna_replication_elongation	X	End of Template?	K	Nucleotide Selection	No	represses	high	2	Rule2 checkpoint outcome No -> represses
ecoli_dna_replication_elongation	X	End of Template?	Y	Leading Strand Complete	Yes	activates	high	2	Rule2 checkpoint outcome Yes -> activates
ecoli_dna_replication_elongation	Y	Leading Strand Complete	BH	Both Strands Complete?		proceeds	high	none	process feeds decision gate
ecoli_dna_replication_termination	AE	Decatenation Reaction	AG	ATP Hydrolysis		proceeds	med	none	unlabeled process step
ecoli_dna_replication_termination	AG	ATP Hydrolysis	AH	DNA Strand Passage		proceeds	med	none	unlabeled process step
ecoli_dna_replication_termination	AH	DNA Strand Passage	AI	Catenane Resolution		proceeds	med	none	unlabeled process step
ecoli_dna_replication_termination	AI	Catenane Resolution	AJ	Complete Separation?		proceeds	high	none	process feeds decision gate
ecoli_dna_replication_termination	AJ	Complete Separation?	AE	Decatenation Reaction	No	represses	high	2	Rule2 checkpoint outcome No -> represses
ecoli_dna_replication_termination	B	Convergence in Terminus Region	C	Ter Site Encounter?		proceeds	high	none	process feeds decision gate
ecoli_dna_replication_termination	C	Ter Site Encounter?	D	Tus Protein Binding	TerA-J Sites Present	activates	high	2	Rule2 checkpoint outcome TerA-J Sites Present -> activates
ecoli_dna_replication_termination	D	Tus Protein Binding	F	Tus-Ter Complex Formation		produces	med	none	assembly yields complex/product
ecoli_dna_replication_termination	F	Tus-Ter Complex Formation	G	Fork Orientation?		proceeds	high	none	process feeds decision gate
ecoli_dna_replication_termination	G	Fork Orientation?	H	Fork Passes Through	Permissive	activates	high	2	Rule2 checkpoint outcome Permissive -> activates
ecoli_dna_replication_termination	H	Fork Passes Through	B	Convergence in Terminus Region		proceeds	med	none	unlabeled process step
ecoli_e._coli_osmotic_stress_response	B	Turgor loss / water efflux	C	RpoS (σS) stabilized		proceeds	med	none	unlabeled process step
ecoli_e._coli_osmotic_stress_response	C	RpoS (σS) stabilized	D	Osmoprotectant gene transcription		proceeds	med	none	unlabeled process step
ecoli_e._coli_osmotic_stress_response	D	Osmoprotectant gene transcription	E	Compatible solute accumulation		proceeds	med	none	unlabeled process step
ecoli_e._coli_osmotic_stress_response	E	Compatible solute accumulation	F	Turgor & cell volume restored		proceeds	med	none	unlabeled process step
ecoli_e._coli_osmotic_stress_response	F	Turgor & cell volume restored	B	Turgor loss / water efflux	− feedback	represses	high	1	Rule1 explicit bar-head inhibition
ecoli_fatty_acid_degradation	AC	FadE Acyl-CoA Dehydrogenase	AD	AND: FAD<br/>Available?		proceeds	high	none	process feeds decision gate
ecoli_fatty_acid_degradation	AD	AND: FAD<br/>Available?	AF	Acyl-CoA → trans-2-Enoyl-CoA	Yes	activates	high	2	Rule2 checkpoint outcome Yes -> activates
ecoli_fatty_acid_degradation	AF	Acyl-CoA → trans-2-Enoyl-CoA	AH	FadB Enoyl-CoA Hydratase		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_degradation	AH	FadB Enoyl-CoA Hydratase	AI	Water Addition		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_degradation	AI	Water Addition	AJ	L-3-Hydroxyacyl-CoA		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_degradation	AJ	L-3-Hydroxyacyl-CoA	AK	FadB 3-Hydroxyacyl-CoA DH		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_degradation	AK	FadB 3-Hydroxyacyl-CoA DH	AL	AND: NAD+<br/>Available?		proceeds	high	none	process feeds decision gate
ecoli_fatty_acid_degradation	AL	AND: NAD+<br/>Available?	AM	3-Ketoacyl-CoA	Yes	activates	high	2	Rule2 checkpoint outcome Yes -> activates
ecoli_fatty_acid_degradation	AM	3-Ketoacyl-CoA	AO	FadA β-Ketothiolase		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_degradation	AO	FadA β-Ketothiolase	AP	{AND: CoA-SH<br/>Available?		proceeds	high	none	process feeds decision gate
ecoli_fatty_acid_degradation	AP	{AND: CoA-SH<br/>Available?	AQ	Acetyl-CoA + Acyl-CoA n-2	Yes	activates	high	2	Rule2 checkpoint outcome Yes -> activates
ecoli_fatty_acid_degradation	AQ	Acetyl-CoA + Acyl-CoA n-2	AS	Shortened Acyl-CoA		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_degradation	AS	Shortened Acyl-CoA	AT	OR: Continue<br/>Oxidation?		proceeds	high	none	process feeds decision gate
ecoli_fatty_acid_degradation	AT	OR: Continue<br/>Oxidation?	AC	FadE Acyl-CoA Dehydrogenase	Chain > C4	activates	high	2	Rule2 checkpoint outcome Chain > C4 -> activates
ecoli_fatty_acid_synthesis	AA	Dehydration	AB	Trans-2-Enoyl-ACP		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_synthesis	AB	Trans-2-Enoyl-ACP	AC	FabI Enoyl-ACP Reductase		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_synthesis	AC	FabI Enoyl-ACP Reductase	AD	NADH Dependent Reduction		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_synthesis	AD	NADH Dependent Reduction	AE	Acyl-ACP		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_synthesis	AE	Acyl-ACP	AF	Chain Length?		proceeds	high	none	process feeds decision gate
ecoli_fatty_acid_synthesis	AF	Chain Length?	AG	Continue Elongation	C4-C14	activates	med	2	Rule2 named-factor gate branch enables
ecoli_fatty_acid_synthesis	AF	Chain Length?	AJ	Termination	C16-C18	activates	med	2	Rule2 named-factor gate branch enables
ecoli_fatty_acid_synthesis	AG	Continue Elongation	V	FabB/F Beta-Ketoacyl-ACP Synthase I/II		proceeds	med	none	pathway/state advances
ecoli_fatty_acid_synthesis	AH	Next Condensation	AI	Beta-Ketoacyl-ACP		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_synthesis	AI	Beta-Ketoacyl-ACP	W	FabG Beta-Ketoacyl-ACP Reductase		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_synthesis	AJ	Termination	AK	Acyl-ACP Thioesterase		proceeds	med	none	pathway/state advances
ecoli_fatty_acid_synthesis	AK	Acyl-ACP Thioesterase	AM	Free ACP		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_synthesis	AM	Free ACP	AN	ACP Recycling		proceeds	med	none	pathway/state advances
ecoli_fatty_acid_synthesis	AN	ACP Recycling	L	4'-Phosphopantetheine Arm		proceeds	med	none	pathway/state advances
ecoli_fatty_acid_synthesis	L	4'-Phosphopantetheine Arm	N	FabD ACP S-Acetyltransferase		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_synthesis	L	4'-Phosphopantetheine Arm	O	FabD ACP S-Malonyltransferase		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_synthesis	N	FabD ACP S-Acetyltransferase	P	Acetyl-ACP		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_synthesis	O	FabD ACP S-Malonyltransferase	Q	Malonyl-ACP		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_synthesis	P	Acetyl-ACP	R	Initiation or<br/>Elongation?		proceeds	high	none	process feeds decision gate
ecoli_fatty_acid_synthesis	Q	Malonyl-ACP	AH	Next Condensation		proceeds	med	none	unlabeled process step
ecoli_fatty_acid_synthesis	Q	Malonyl-ACP	S	FabH Beta-Ketoacyl-ACP Synthase III		proceeds	med	none	unlabeled process step
