chart_id	stored_title	stored_authors	checked_field	checked_value	flag	resolved_paper_id	resolved_title	title_similarity	has_abstract
celegans_heterochronic_clock	The C. elegans heterochronic gene lin-4 encodes small RNAs with antisense complementarity to lin-14	Lee RC, Feinbaum RL, Ambros V	doi	10.1016/0092-8674(93)90529-Y	NOT_FOUND				
celegans_heterochronic_clock	The C. elegans heterochronic gene lin-4 encodes small RNAs with antisense complementarity to lin-14	Lee RC, Feinbaum RL, Ambros V	pmid	8252621	OK	pubmed_8252621	The C. elegans heterochronic gene lin-4 encodes small RNAs with antisense complementarity to lin-14.	1.0	True
celegans_heterochronic_clock	The 21-nucleotide let-7 RNA regulates developmental timing in Caenorhabditis elegans	Reinhart BJ, Slack FJ, Basson M, et al.	doi	10.1038/35002607	OK	pubmed_10706289	The 21-nucleotide let-7 RNA regulates developmental timing in Caenorhabditis elegans.	1.0	True
celegans_heterochronic_clock	The 21-nucleotide let-7 RNA regulates developmental timing in Caenorhabditis elegans	Reinhart BJ, Slack FJ, Basson M, et al.	pmid	10706289	OK	pubmed_10706289	The 21-nucleotide let-7 RNA regulates developmental timing in Caenorhabditis elegans.	1.0	True
drosophila_gap_gene_network	The gap gene network	Jaeger J	doi	10.1007/s00018-010-0536-y	OK	pubmed_20927566	The gap gene network.	1.0	True
drosophila_gap_gene_network	The gap gene network	Jaeger J	pmid	20927566	OK	pubmed_20927566	The gap gene network.	1.0	True
drosophila_gap_gene_network	A self-organizing system of repressor gradients establishes segmental complexity in Drosophila	Clyde DE, Corado MSG, Wu X, et al.	doi	10.1038/nature02189	OK	pubmed_14685241	A self-organizing system of repressor gradients establishes segmental complexity in Drosophila.	1.0	True
drosophila_gap_gene_network	A self-organizing system of repressor gradients establishes segmental complexity in Drosophila	Clyde DE, Corado MSG, Wu X, et al.	pmid	14685241	OK	pubmed_14685241	A self-organizing system of repressor gradients establishes segmental complexity in Drosophila.	1.0	True
drosophila_segment_polarity	The segment polarity network is a robust developmental module	von Dassow G, Meir E, Munro EM, Odell GM	doi	10.1038/35018085	OK	pubmed_10910359	The segment polarity network is a robust developmental module.	1.0	True
drosophila_segment_polarity	The segment polarity network is a robust developmental module	von Dassow G, Meir E, Munro EM, Odell GM	pmid	10910359	OK	pubmed_10910359	The segment polarity network is a robust developmental module.	1.0	True
ecoli_amino_acid_biosynthesis	Biosynthesis of amino acids	Umbarger HE	doi	10.1146/annurev.bi.47.070178.002203	NOT_FOUND				
ecoli_amino_acid_biosynthesis	Biosynthesis of amino acids	Umbarger HE	pmid	354503	TITLE_MISMATCH	pubmed_354503	Amino acid biosynthesis and its regulation.	0.435	False
ecoli_anaerobic_respiration	FNR is a direct oxygen sensor having a [4Fe-4S] cluster	Khoroshilova N, Popescu C, Münck E, Beinert H, Kiley PJ	doi	10.1126/science.277.5334.2099	NOT_FOUND				
ecoli_anaerobic_respiration	FNR is a direct oxygen sensor having a [4Fe-4S] cluster	Khoroshilova N, Popescu C, Münck E, Beinert H, Kiley PJ	pmid	9381172	TITLE_MISMATCH	pubmed_9381172	Genome maps 8. Building gene families. Wall chart.	0.32	False
ecoli_anaerobic_respiration	Anaerobic regulation of the adhE gene, encoding the fermentative alcohol dehydrogenase of Escherichia coli	Leonardo MR, Dailly Y, Clark DP	doi	10.1128/jb.178.11.3391-3393.1996	NOT_FOUND				
ecoli_anaerobic_respiration	Anaerobic regulation of the adhE gene, encoding the fermentative alcohol dehydrogenase of Escherichia coli	Leonardo MR, Dailly Y, Clark DP	pmid	8631678	TITLE_MISMATCH	pubmed_8631678	Construction and characterization of two lexA mutants of Salmonella typhimurium with different UV sensitivities and UV mutabilities.	0.263	True
ecoli_anaerobic_respiration	arcA (dye), a global regulatory gene in Escherichia coli mediating repression of enzymes in aerobic pathways.	Iuchi S, Lin EC	doi	10.1073/pnas.85.6.1888	OK	pubmed_2964639	arcA (dye), a global regulatory gene in Escherichia coli mediating repression of enzymes in aerobic pathways.	1.0	True
ecoli_anaerobic_respiration	arcA (dye), a global regulatory gene in Escherichia coli mediating repression of enzymes in aerobic pathways.	Iuchi S, Lin EC	pmid	2964639	OK	pubmed_2964639	arcA (dye), a global regulatory gene in Escherichia coli mediating repression of enzymes in aerobic pathways.	1.0	True
ecoli_anaerobic_respiration	Redox sensing by the ArcB sensor kinase of Escherichia coli: quinone as a direct redox signal	Georgellis D, Kwon O, Lin EC	doi	10.1046/j.1365-2958.2001.02462.x	TITLE_MISMATCH	pubmed_11442828	AraC/XylS family members, HilC and HilD, directly bind and derepress the Salmonella typhimurium hilA promoter.	0.271	True
ecoli_anaerobic_respiration	Redox sensing by the ArcB sensor kinase of Escherichia coli: quinone as a direct redox signal	Georgellis D, Kwon O, Lin EC	pmid	11422357	TITLE_MISMATCH	pubmed_11422357	Evidence-based prescribing in adults with learning disability and epilepsy.	0.265	False
ecoli_antibiotic_efflux_pumps	A review of the mechanisms that confer antibiotic resistance in pathotypes of E. coli.	Nasrollahian S	doi	10.3389/fcimb.2024.1387497	OK	pubmed_38638826	A review of the mechanisms that confer antibiotic resistance in pathotypes of <i>E. coli</i>.	0.977	True
ecoli_antibiotic_efflux_pumps	A review of the mechanisms that confer antibiotic resistance in pathotypes of E. coli.	Nasrollahian S	pmid	38638826	OK	pubmed_38638826	A review of the mechanisms that confer antibiotic resistance in pathotypes of <i>E. coli</i>.	0.977	True
ecoli_antibiotic_efflux_pumps	Plasmid-encoded tet(X) genes that confer high-level tigecycline resistance in Escherichia coli.	Sun J	doi	10.1038/s41564-019-0496-4	OK	pubmed_31235960	Plasmid-encoded tet(X) genes that confer high-level tigecycline resistance in Escherichia coli.	1.0	True
ecoli_antibiotic_efflux_pumps	Plasmid-encoded tet(X) genes that confer high-level tigecycline resistance in Escherichia coli.	Sun J	pmid	31235960	OK	pubmed_31235960	Plasmid-encoded tet(X) genes that confer high-level tigecycline resistance in Escherichia coli.	1.0	True
ecoli_antibiotic_efflux_pumps	Emergence of a Plasmid-Encoded Resistance-Nodulation-Division Efflux Pump Conferring Resistance to Multiple Drugs, Including Tigecycline, in Klebsiella pneumoniae.	Lv L	doi	10.1128/mBio.02930-19	NOT_FOUND				
ecoli_antibiotic_efflux_pumps	Emergence of a Plasmid-Encoded Resistance-Nodulation-Division Efflux Pump Conferring Resistance to Multiple Drugs, Including Tigecycline, in Klebsiella pneumoniae.	Lv L	pmid	32127452	OK	pubmed_32127452	Emergence of a Plasmid-Encoded Resistance-Nodulation-Division Efflux Pump Conferring Resistance to Multiple Drugs, Including Tigecycline, in Klebsiella pneumoniae.	1.0	True
ecoli_antibiotic_efflux_pumps	Sulopenem: An Intravenous and Oral Penem for the Treatment of Urinary Tract Infections Due to Multidrug-Resistant Bacteria.	Zhanel GG	doi	10.1007/s40265-022-01688-1	OK	pubmed_35294769	Sulopenem: An Intravenous and Oral Penem for the Treatment of Urinary Tract Infections Due to Multidrug-Resistant Bacteria.	1.0	True
ecoli_antibiotic_efflux_pumps	Sulopenem: An Intravenous and Oral Penem for the Treatment of Urinary Tract Infections Due to Multidrug-Resistant Bacteria.	Zhanel GG	pmid	35294769	OK	pubmed_35294769	Sulopenem: An Intravenous and Oral Penem for the Treatment of Urinary Tract Infections Due to Multidrug-Resistant Bacteria.	1.0	True
ecoli_ara_operon	Regulation of the L-arabinose operon of Escherichia coli	Schleif R	doi	10.1016/s0168-9525(00)02153-3	OK	pubmed_11102706	Regulation of the L-arabinose operon of Escherichia coli.	1.0	True
ecoli_ara_operon	Regulation of the L-arabinose operon of Escherichia coli	Schleif R	pmid	11102706	OK	pubmed_11102706	Regulation of the L-arabinose operon of Escherichia coli.	1.0	True
ecoli_ara_operon	DNA looping	Schleif R	doi	10.1146/annurev.bi.61.070192.001215	OK	pubmed_1497310	DNA looping.	1.0	True
ecoli_ara_operon	DNA looping	Schleif R	pmid	1497310	OK	pubmed_1497310	DNA looping.	1.0	True
ecoli_ara_operon	AraC protein: a love-hate relationship	Schleif R	doi	10.1002/bies.10237	OK	pubmed_12596232	AraC protein: a love-hate relationship.	1.0	True
ecoli_ara_operon	AraC protein: a love-hate relationship	Schleif R	pmid	12596232	OK	pubmed_12596232	AraC protein: a love-hate relationship.	1.0	True
ecoli_ara_operon	Regulation: positive control	Englesberg E, Wilcox G	doi	10.1146/annurev.ge.08.120174.001251	NO_ABSTRACT	crossref_10.1146_annurev.ge.08.120174.001251	Regulation: positive control.	1.0	False
ecoli_ara_operon	Regulation: positive control	Englesberg E, Wilcox G	pmid	4374117	NO_ABSTRACT	pubmed_4374117	Regulation: positive control.	1.0	False
ecoli_arginine_biosynthesis	Biosynthesis and metabolism of arginine in bacteria	Cunin R, Glansdorff N, Piérard A, Stalon V	pmid	3534538	NO_ABSTRACT	pubmed_3534538	Biosynthesis and metabolism of arginine in bacteria.	1.0	False
ecoli_arginine_biosynthesis	The arginine repressor of Escherichia coli.	Maas WK	doi	10.1128/mr.58.4.631-640.1994	OK	pubmed_7854250	The arginine repressor of Escherichia coli.	1.0	True
ecoli_arginine_biosynthesis	The arginine repressor of Escherichia coli.	Maas WK	pmid	7854250	OK	pubmed_7854250	The arginine repressor of Escherichia coli.	1.0	True
ecoli_arginine_biosynthesis	Arginine regulon of Escherichia coli K-12. A study of repressor-operator interactions and of in vitro binding affinities versus in vivo repression	Charlier D, Roovers M, Van Vliet F, Boyen A, Cunin R, Nakamura Y, Glansdorff N, Piérard A	doi	10.1016/0022-2836(92)90952-i	NOT_FOUND				
ecoli_arginine_biosynthesis	Arginine regulon of Escherichia coli K-12. A study of repressor-operator interactions and of in vitro binding affinities versus in vivo repression	Charlier D, Roovers M, Van Vliet F, Boyen A, Cunin R, Nakamura Y, Glansdorff N, Piérard A	pmid	1640456	OK	pubmed_1640456	Arginine regulon of Escherichia coli K-12. A study of repressor-operator interactions and of in vitro binding affinities versus in vivo repression.	1.0	True
ecoli_arginine_biosynthesis	The arginine regulon of Escherichia coli: whole-system transcriptome analysis discovers new genes and provides an integrated view of arginine regulation	Caldara M, Charlier D, Cunin R	doi	10.1099/mic.0.29088-0	OK	pubmed_17074904	The arginine regulon of Escherichia coli: whole-system transcriptome analysis discovers new genes and provides an integrated view of arginine regulation.	1.0	True
ecoli_arginine_biosynthesis	The arginine regulon of Escherichia coli: whole-system transcriptome analysis discovers new genes and provides an integrated view of arginine regulation	Caldara M, Charlier D, Cunin R	pmid	17074904	OK	pubmed_17074904	The arginine regulon of Escherichia coli: whole-system transcriptome analysis discovers new genes and provides an integrated view of arginine regulation.	1.0	True
ecoli_base_excision_repair	Base excision repair of oxidative DNA damage	David SS, O'Shea VL, Kundu S	doi	10.1038/nature05978	OK	pubmed_17581577	Base-excision repair of oxidative DNA damage.	1.0	True
ecoli_base_excision_repair	Base excision repair of oxidative DNA damage	David SS, O'Shea VL, Kundu S	pmid	17581577	OK	pubmed_17581577	Base-excision repair of oxidative DNA damage.	1.0	True
ecoli_base_excision_repair	Escherichia coli endonuclease III: location of the iron-sulfur cluster in the three-dimensional structure	Kuo CF, McRee DE, Fisher CL, et al	doi	10.1126/science.1411536	TITLE_MISMATCH	pubmed_1411536	Atomic structure of the DNA repair [4Fe-4S] enzyme endonuclease III.	0.272	True
ecoli_base_excision_repair	Escherichia coli endonuclease III: location of the iron-sulfur cluster in the three-dimensional structure	Kuo CF, McRee DE, Fisher CL, et al	pmid	1411536	TITLE_MISMATCH	pubmed_1411536	Atomic structure of the DNA repair [4Fe-4S] enzyme endonuclease III.	0.272	True
ecoli_base_excision_repair	DNA repair mechanisms for the recognition and removal of damaged DNA bases.	Mol CD, Parikh SS, Putnam CD, Lo TP, Tainer JA	doi	10.1146/annurev.biophys.28.1.101	NO_ABSTRACT	crossref_10.1146_annurev.biophys.28.1.101	DNA REPAIR MECHANISMS FOR THE RECOGNITION AND REMOVAL OF DAMAGED DNA BASES	1.0	False
ecoli_base_excision_repair	DNA repair mechanisms for the recognition and removal of damaged DNA bases.	Mol CD, Parikh SS, Putnam CD, Lo TP, Tainer JA	pmid	10410797	OK	pubmed_10410797	DNA repair mechanisms for the recognition and removal of damaged DNA bases.	1.0	True
ecoli_base_excision_repair	Bacterial DNA repair	Friedberg EC, Walker GC, Siede W			NO_IDENTIFIERS				
ecoli_biofilm_formation	Bacterial resistance in biofilm-associated bacteria	Jamal M	pmid	26517598	OK	pubmed_26517598	Bacterial resistance in biofilm-associated bacteria.	1.0	True
ecoli_biofilm_formation	Expression of cellulose and curli fimbriae by Escherichia coli isolated from the gastrointestinal tract.	Bokranz W, Wang X, Tschäpe H, Römling U	doi	10.1099/jmm.0.46064-0	OK	pubmed_16278431	Expression of cellulose and curli fimbriae by Escherichia coli isolated from the gastrointestinal tract.	1.0	True
ecoli_biofilm_formation	Expression of cellulose and curli fimbriae by Escherichia coli isolated from the gastrointestinal tract.	Bokranz W, Wang X, Tschäpe H, Römling U	pmid	16278431	OK	pubmed_16278431	Expression of cellulose and curli fimbriae by Escherichia coli isolated from the gastrointestinal tract.	1.0	True
ecoli_biofilm_formation	Curli biogenesis and function	Barnhart MM	pmid	16704339	OK	pubmed_16704339	Curli biogenesis and function.	1.0	True
ecoli_biofilm_formation	The biofilm matrix: multitasking in a shared space.	Flemming HC, van Hullebusch ED, Neu TR, Nielsen PH, Seviour T, Stoodley P, Wingender J, Wuertz S	doi	10.1038/s41579-022-00791-0	OK	pubmed_36127518	The biofilm matrix: multitasking in a shared space.	1.0	True
ecoli_biofilm_formation	The biofilm matrix: multitasking in a shared space.	Flemming HC, van Hullebusch ED, Neu TR, Nielsen PH, Seviour T, Stoodley P, Wingender J, Wuertz S	pmid	36127518	OK	pubmed_36127518	The biofilm matrix: multitasking in a shared space.	1.0	True
ecoli_catabolite_repression	Catabolite repression and the lac operon	Ullmann A, Monod J	doi	10.1016/0006-291X(68)90532-6	NOT_FOUND				
ecoli_catabolite_repression	Catabolite repression and the lac operon	Ullmann A, Monod J	pmid	4871331	TITLE_MISMATCH	pubmed_4871331	Blood coagulation: biochemical, physiological and clinical considerations.	0.36	False
ecoli_catabolite_repression	Transcription activation by catabolite activator protein (CAP).	Busby S, Ebright RH	doi	10.1006/jmbi.1999.3161	OK	pubmed_10550204	Transcription activation by catabolite activator protein (CAP).	1.0	True
