doc_id	doi	pmid	discipline	glmp_relevant	sequence_logic_content	classify_reason	title
biorxiv_10.1101_2024.04.24.590951	10.1101/2024.04.24.590951		biology	true	false	biology_category	Oncogenic MAPK pathway activation disrupts Schwann cell fate commitment, inducing congenital and progressive neuropathy 
biorxiv_10.64898_2026.01.16.699923	10.64898/2026.01.16.699923		biology	false	false	none	The Cryptococcus neoformans titanide is a pathogenic morphotype that arises from typical yeast cells in response to host
biorxiv_10.64898_2026.01.09.698559	10.64898/2026.01.09.698559		biology	false	false	none	A proline-rich-domain-binding single domain antibody selectively inhibits RNA-induced liquid-liquid phase separation of 
biorxiv_10.1101_2024.07.04.602060	10.1101/2024.07.04.602060		biology	false	false	none	Dichotomy between extracellular signatures of active dendritic chemical synapses and gap junctions
biorxiv_10.1101_2025.05.09.653016	10.1101/2025.05.09.653016		biology	false	false	none	CRISPR-Cas is beneficial in plasmid competition, but limited by competitor toxin-antitoxin activity when horizontally tr
biorxiv_10.1101_2021.06.29.450241	10.1101/2021.06.29.450241		biology	false	false	none	Insulin receptor trafficking and interactions in muscle cells
biorxiv_10.64898_2026.01.23.701434	10.64898/2026.01.23.701434		biology	false	false	none	Tractometry-Based Quantification of Along-Tract White-Matter Hemispheric Asymmetry in Alzheimer's Disease
biorxiv_10.1101_2024.12.23.630185	10.1101/2024.12.23.630185		biology	false	false	none	Attention field as a cognitive-behavioral marker for demarcating internet- but not smoking-addiction from reward
biorxiv_10.64898_2026.01.02.697430	10.64898/2026.01.02.697430		biology	false	false	none	Loss of E3 ligase Ube4A disrupts colon homeostasis and accelerates experimental colitis via altered lipid handling
biorxiv_10.1101_2025.11.25.690363	10.1101/2025.11.25.690363		biology	false	false	none	Brush border intermicrovillar adhesion limits bacterial attachment to the small intestine brush border
biorxiv_10.64898_2026.01.21.700690	10.64898/2026.01.21.700690		biology	true	false	biology_category	Aging disrupts tissue homeostasis and constrains blastema-mediated regeneration in the Cladonema medusa
biorxiv_10.64898_2025.12.30.697090	10.64898/2025.12.30.697090		biology	false	false	none	Retrograde viral delivery of hyper-IL-6 activates Stat3 in corticospinal tract neurons but causes severe tremors and wei
biorxiv_10.64898_2026.01.07.698106	10.64898/2026.01.07.698106		biology	false	false	none	Pupil- and gaze dynamics track emotion content in naturalistic speech
biorxiv_10.64898_2026.01.15.699680	10.64898/2026.01.15.699680		biology	false	false	none	Phosphorylation of Cyclophilin-D is Not Required for Regulation of The Mitochondrial Permeability Transition Pore by GSK
biorxiv_10.64898_2026.01.03.697456	10.64898/2026.01.03.697456		biology	false	false	none	Nucleolar reorganization on stress depends on physicochemical changes due to nascent rRNA synthesis
biorxiv_10.64898_2026.01.23.700806	10.64898/2026.01.23.700806		biology	false	false	none	Surf2Spot: A Surface-Informed Geometry-Aware Model for Predicting Binder and Nanobody Design Hotspots
biorxiv_10.1101_2025.05.30.657023	10.1101/2025.05.30.657023		biology	false	false	none	New idtracker.ai: rethinking multi-animal tracking as a representation learning problem to increase accuracy and reduce 
biorxiv_10.64898_2025.12.19.695367	10.64898/2025.12.19.695367		biology	false	false	none	T2T genome of the basal nematode Xiphinema index reveals major adaptive events associated to plant parasitism and epigen
biorxiv_10.1101_2025.04.08.647705	10.1101/2025.04.08.647705		biology	false	false	none	Kinesin-1 conformational dynamics are controlled by a cargo-sensitive TPR switch
biorxiv_10.64898_2025.12.28.696672	10.64898/2025.12.28.696672		biology	false	false	none	Intrinsic DNA sequence determinants and tissue-specific regulation of human replication origins
biorxiv_10.1101_2025.09.02.673686	10.1101/2025.09.02.673686		biology	false	true	none	Immune interaction signatures in adipose tissue fibroblasts in obesity-associated atherosclerosis
biorxiv_10.64898_2026.01.13.699194	10.64898/2026.01.13.699194		biology	false	false	none	The juvenile-to-adult phase transition in wheat is independent of the winter-spring growth habit regulated by VRN1
biorxiv_10.1101_2025.10.20.682800	10.1101/2025.10.20.682800		biology	true	false	biology_category	Non-canonical inflammasome drives intrinsic anti-microbial responses in human Natural Killer (NK) cells.
biorxiv_10.64898_2025.12.27.696713	10.64898/2025.12.27.696713		biology	false	false	none	Preclinical Safety Evaluation of Vernolac, a Commercially Available Polyherbal Nutraceutical Comprising Vernonia zeylani
biorxiv_10.64898_2025.12.31.697180	10.64898/2025.12.31.697180		biology	false	false	none	PeptiVerse: A Unified Platform for Therapeutic Peptide Property Prediction
biorxiv_10.1101_2024.12.15.628558	10.1101/2024.12.15.628558		biology	false	false	none	A novel pan class-I glucose transporter inhibitor DRB18 exhibits synergistic effects in vitro and in vivo with paclitaxe
biorxiv_10.64898_2026.01.04.697605	10.64898/2026.01.04.697605		biology	false	false	none	Treponema pallidum TprD and TprK Are Adhesins and Promote Spirochetes Opsonophagocytosis
biorxiv_10.64898_2026.01.06.697950	10.64898/2026.01.06.697950		biology	false	false	none	Genetic influences on educational outcomes during and after the Soviet era: Revisiting evidence from Estonia
biorxiv_10.1101_2024.06.25.599250	10.1101/2024.06.25.599250		biology	false	false	none	BioRSP: a method for characterizing enrichment patterns in single-cell embeddings
biorxiv_10.64898_2026.01.11.698919	10.64898/2026.01.11.698919		biology	false	false	none	Functional organization underlying superior performance in a memory champion
biorxiv_10.1101_2024.11.03.621763	10.1101/2024.11.03.621763		biology	false	false	none	Combinatorial Optimization of Antibody Libraries via Constrained Integer Programming
biorxiv_10.64898_2026.01.07.698139	10.64898/2026.01.07.698139		biology	true	false	biology_category	A severely affected MRL/Lpr mouse exhibits a divergent clinical-immune profile associated with a profound metabolic alte
biorxiv_10.64898_2026.01.12.699065	10.64898/2026.01.12.699065		biology	true	false	biology_category	uSort-M: Scalable isolation of user-defined sequences from diverse pooled libraries
biorxiv_10.64898_2026.01.05.697775	10.64898/2026.01.05.697775		biology	false	false	none	Drug-tolerant persister cells reallocate carbon sources to fuel antioxidant metabolism for survival
biorxiv_10.64898_2026.01.11.698873	10.64898/2026.01.11.698873		biology	false	false	none	Cell-body curvature modulates stall frequency to enhance Vibrio cholerae swimming and chemotaxis through hydrogels
biorxiv_10.64898_2026.01.07.698152	10.64898/2026.01.07.698152		biology	false	false	none	Ontogenic shift in the usage and function of a symbolic bird gesture
biorxiv_10.64898_2026.01.05.697785	10.64898/2026.01.05.697785		biology	false	false	none	Vicarious trauma primes innate immunity and reconfigures human brain networks
biorxiv_10.1101_2025.05.23.655722	10.1101/2025.05.23.655722		biology	false	false	none	Live imaging of bacterial actin MreBs from Spiroplasma causing helicity switching of a minimal synthetic cell
biorxiv_10.64898_2026.01.06.698034	10.64898/2026.01.06.698034		biology	false	false	none	IFNγ-Driven Inflammatory Responses in the Nasal Mucosa Drive Influenza Virus Shedding and Transmission
biorxiv_10.64898_2026.01.06.698043	10.64898/2026.01.06.698043		biology	false	false	none	Antimicrobial activity of Syzygium aromaticum (clove) against Staphylococcus aureus and Listeria monocytogenes is enhanc
biorxiv_10.1101_2025.09.09.675236	10.1101/2025.09.09.675236		biology	false	false	none	WITHDRAWN: Uncovering the role of laminin (laminin α5 ) in maintenance of epithelial identity and polarity in bilayer ze
biorxiv_10.64898_2026.01.07.698224	10.64898/2026.01.07.698224		biology	false	false	none	Modular presynaptic assemblages scale to postsynaptic partner number
biorxiv_10.64898_2025.12.09.692923	10.64898/2025.12.09.692923		biology	false	false	none	CRK2 controls the spatiotemporal distribution of QSK1 at plasma membrane during osmotic stress
biorxiv_10.1101_2025.08.28.672634	10.1101/2025.08.28.672634		biology	false	false	none	Chronotherapy as a Potential Strategy to Reduce Ifosfamide-Induced Encephalopathy: A Preclinical Study in a Murine Model
biorxiv_10.1101_2025.04.29.651217	10.1101/2025.04.29.651217		biology	false	false	none	LazypipeX: Customizable Virome Analysis Pipeline Enabling Fast and Sensitive Virus Discovery from NGS data
biorxiv_10.64898_2026.01.06.697971	10.64898/2026.01.06.697971		biology	false	false	none	Good dog, bad wolf: Debunking evolutionary preparedness to fear wolves
biorxiv_10.64898_2026.01.04.697572	10.64898/2026.01.04.697572		biology	true	false	biology_category	Leveraging TNFR2 for antitumour immunity: T reg depletion and myeloid reprogramming versus T cell costimulation
biorxiv_10.64898_2026.01.13.699286	10.64898/2026.01.13.699286		biology	false	false	none	WITHDRAWN: Plasmodium falciparum stomatin-like protein forms a putative complex with a metalloprotease in distinct mitoc
biorxiv_10.1101_2025.10.10.681546	10.1101/2025.10.10.681546		biology	false	false	none	Dorso-Ventral and Night-Day Regulation of Extracellular K+ Dynamics in Mouse Hippocampal Astrocytes
biorxiv_10.64898_2026.01.23.701410	10.64898/2026.01.23.701410		biology	false	false	none	RLBWT-Based LCP Computation in Compressed Space for Terabase-Scale Pangenome Analysis
biorxiv_10.64898_2026.01.16.699750	10.64898/2026.01.16.699750		biology	false	false	none	Common and distinct contributions of the dorsomedial prefrontal and posterior parietal cortices to social episodic memor
biorxiv_10.1101_2025.11.28.691108	10.1101/2025.11.28.691108		biology	true	false	biology_category	Engineered symbiont biosensor maps micron-scale sugar gradients in the honeybee gut
biorxiv_10.64898_2026.01.20.700602	10.64898/2026.01.20.700602		biology	false	false	none	Transcranial direct current stimulation (tDCS) promotes myelin repair and plasticity in the mouse motor cortex
biorxiv_10.64898_2026.01.16.699917	10.64898/2026.01.16.699917		biology	false	false	none	Discovery of a Human Metabolite that Mimics the Bacterial Quorum-Sensing Autoinducer AI-2
biorxiv_10.1101_2025.09.15.676321	10.1101/2025.09.15.676321		biology	false	false	none	Endogenous oxytocin-linked heart rate synchrony for social connection in live sports spectators
biorxiv_10.1101_2024.07.09.602732	10.1101/2024.07.09.602732		biology	false	false	none	A Modified Approach to Define Walking Center of Mass Mechanical Energy Recovery: Human Walking Involves Energy Loss Thro
biorxiv_10.1101_2025.08.16.670687	10.1101/2025.08.16.670687		biology	false	false	none	Hugin-AstA circuitry is a novel central energy sensor that directly regulates sweet sensation in Drosophila and mouse
biorxiv_10.64898_2026.01.13.699197	10.64898/2026.01.13.699197		biology	false	false	none	Genomic and phenotypic diversification of Pseudomonas aeruginosa during sustained exposure to a ciliate predator
biorxiv_10.1101_2025.10.21.683722	10.1101/2025.10.21.683722		biology	true	false	biology_category	Vesicle-templated self-assembly of programmable freestanding multi-μm DNA shells
biorxiv_10.1101_2024.07.31.601896	10.1101/2024.07.31.601896		biology	false	false	none	Evolution of divergent daily temporal niches shaped by male-male competition can generate sympatric speciation
biorxiv_10.64898_2025.12.22.696118	10.64898/2025.12.22.696118		biology	false	false	none	Oxa1L buffers mitochondrial vulnerability by coupling translation to membrane insertion
biorxiv_10.1101_2025.08.23.671927	10.1101/2025.08.23.671927		biology	false	false	none	Computational Analysis of ELOVL6 Structure and Inhibition for Rational Drug Design
biorxiv_10.1101_2024.11.28.625911	10.1101/2024.11.28.625911		biology	false	false	none	Planning-while-acting: addressing the continuous dynamics of planning and action in a virtually embodied task
biorxiv_10.1101_2025.09.26.678893	10.1101/2025.09.26.678893		biology	false	false	none	Ridge-assisted Micro Positioning of Cells and Particles in a Microchannel
biorxiv_10.1101_2025.08.12.669950	10.1101/2025.08.12.669950		biology	false	false	none	Inference of germinal center evolutionary dynamics via simulation-based deep learning
biorxiv_10.1101_2025.10.27.684796	10.1101/2025.10.27.684796		biology	false	false	none	Mapping long-term memory modulation with transcranial alternating current stimulation
biorxiv_10.64898_2025.12.29.696961	10.64898/2025.12.29.696961		biology	false	false	none	Discovery of the metalloenzyme IsmB revises a pathway for coprostanol formation by the human gut microbiome
biorxiv_10.64898_2025.12.26.696569	10.64898/2025.12.26.696569		biology	false	false	none	An annotated chromosome-level genome assembly ofthe Adzuki bean borer Ostrinia scapulalis (Lepidoptera: Crambidae)
biorxiv_10.1101_2025.06.05.658061	10.1101/2025.06.05.658061		biology	false	false	none	Sequence-based deep learning model for annotating lytic polysaccharide monooxygenase families
biorxiv_10.64898_2026.01.01.697308	10.64898/2026.01.01.697308		biology	false	false	none	A Quantitative Model for RhD-Negative Allele Frequency Peaks in Ibero Berber Populations via Synergistic Selection
biorxiv_10.64898_2026.01.03.697463	10.64898/2026.01.03.697463		biology	false	false	none	Targeted 3'-end RNA sequencing uncovers cryptic polyadenylation in Huntington's disease linked to somatic instability an
biorxiv_10.1101_2025.11.18.689008	10.1101/2025.11.18.689008		biology	false	false	none	Airway epithelia clear rhinovirus infection via two waves of cell extrusion
biorxiv_10.64898_2026.01.05.697754	10.64898/2026.01.05.697754		biology	false	false	none	DAP-seq Reveals Cluster-Situated Regulator Control of Numerous Streptomyces Natural Product Biosynthetic Genes
biorxiv_10.64898_2026.01.12.697845	10.64898/2026.01.12.697845		biology	false	false	none	MTFP1 preserves β-cell cristae structure and bioenergetics to ensure insulin release and glucose homeostasis
biorxiv_10.1101_2025.08.21.671523	10.1101/2025.08.21.671523		biology	false	false	none	Interactive Visualization of Metric Distortion in Nonlinear Data Embeddings using the distortions Package
biorxiv_10.1101_2025.03.12.642787	10.1101/2025.03.12.642787		biology	false	false	none	Microbial communities on station and train surfaces in Chennai Metro: Insights into urban transit microbiome
biorxiv_10.64898_2026.01.09.698222	10.64898/2026.01.09.698222		biology	false	false	none	A continuous viral vaccine biomanufacturing platform utilizing multiple bioreactor configurations
biorxiv_10.64898_2026.01.14.699595	10.64898/2026.01.14.699595		biology	false	false	none	AtlasMap: enabling low-cost, map-style exploration of million-cell single-cell atlases
biorxiv_10.1101_2025.07.23.666419	10.1101/2025.07.23.666419		biology	false	false	none	Reducing type II error in fMRI analysis: Cluster-extent threshold simulation results and an evaluation of current method
biorxiv_10.1101_2025.09.19.677313	10.1101/2025.09.19.677313		biology	false	false	none	Phylogeny and gene function integration uncovers multiple convergences in multicellular and terrestrial transitions
biorxiv_10.64898_2025.12.30.696066	10.64898/2025.12.30.696066		biology	false	false	none	Foundational genomic resources for date palm: A gap-free, telomere-to-telomere phased assembly of Ajwa and 19 high-quali
biorxiv_10.64898_2026.01.07.698216	10.64898/2026.01.07.698216		biology	false	false	none	The primary cilium controls programmed cell death via its proteasome-regulating function
biorxiv_10.64898_2026.01.16.699887	10.64898/2026.01.16.699887		biology	false	false	none	Behavioral state-dependent norepinephrine dynamics in the primary somatosensory and prefrontal cortices during tactile d
biorxiv_10.64898_2026.01.16.699970	10.64898/2026.01.16.699970		biology	false	false	none	Long-term Musculoskeletal and Marrow Sparing with Proton FLASH in Juvenile Mice: Implications for Pediatric Osteosarcoma
biorxiv_10.64898_2026.01.16.699992	10.64898/2026.01.16.699992		biology	false	false	none	Targeting PI3Kβ-dependent cancer with a novel small molecule inhibitor, GT220
biorxiv_10.64898_2026.01.16.699897	10.64898/2026.01.16.699897		biology	false	false	none	A Human Recombinant Antibody Against DRP1 Serine 616 Phosphorylation Enables Detection of BRAFV600E-Associated Mitochond
biorxiv_10.1101_2025.11.03.686214	10.1101/2025.11.03.686214		biology	false	false	none	ProteoCast: a web server to predict, validate, and interpret missense variant effects
biorxiv_10.64898_2026.01.16.699978	10.64898/2026.01.16.699978		biology	false	false	none	Organic Components Modulate the Morphology of Respirable Aerovirology Relevant Aerosols
biorxiv_10.1101_2025.07.14.664652	10.1101/2025.07.14.664652		biology	false	false	none	Neural Convergence of Graded Belief and Binary Belief Uncertainty
biorxiv_10.64898_2026.01.09.698681	10.64898/2026.01.09.698681		biology	false	false	none	Topoisomerase I inhibition suppresses nuclear blebbing via RNA Pol II stalling and nuclear stiffening
biorxiv_10.64898_2026.01.23.701389	10.64898/2026.01.23.701389		biology	false	false	none	Metabolic reallocation in spinal cord oligodendrocytes drives chronic pain via neuronal β-amyloid production
biorxiv_10.64898_2026.01.05.697692	10.64898/2026.01.05.697692		biology	false	false	none	ProxiCapture Reveals Context-Dependent CRBN Interactome Landscape of Molecular Glue Degraders
biorxiv_10.64898_2026.01.18.699877	10.64898/2026.01.18.699877		biology	false	false	none	Identity-resolved vocal exchanges in multi-marmoset settings
biorxiv_10.64898_2025.12.18.694943	10.64898/2025.12.18.694943		biology	false	false	none	Cortex-wide Dynamics of Internal Decisions About Behavioral Context
biorxiv_10.64898_2026.01.11.698879	10.64898/2026.01.11.698879		biology	false	false	none	Building the Marine Probiotic Platform: Developing a High-Throughput Process to Discover Coral Probiotics for Stony Cora
biorxiv_10.64898_2025.12.11.693657	10.64898/2025.12.11.693657		biology	false	false	none	An Explainable Knowledge Graph-Driven Approach to Decipher the Link Between Brain Disorders and the Gut Microbiome
biorxiv_10.1101_2025.01.14.632908	10.1101/2025.01.14.632908		biology	true	false	biology_category	Decoding MASLD Progression: A Molecular Trajectory-Based Framework for Modelling Disease Dynamics
biorxiv_10.64898_2026.01.06.698062	10.64898/2026.01.06.698062		biology	false	false	none	Structural probing of RNA hairpins quantifies protein occupancy on RNA and links it to function in human cells
biorxiv_10.64898_2026.01.16.699902	10.64898/2026.01.16.699902		biology	false	false	none	IROP: Ionic Regulation of Permeation for High-Yield AAV Purification
biorxiv_10.64898_2026.01.05.697776	10.64898/2026.01.05.697776		biology	false	false	none	Conformation Driven Enhancement of Neurolysin Activity in Presence of a Small Molecule Activator
biorxiv_10.64898_2026.01.04.697535	10.64898/2026.01.04.697535		biology	false	false	none	A cell-type-resolved human brain atlas of microRNAs and tRNA fragments
biorxiv_10.64898_2025.12.25.696522	10.64898/2025.12.25.696522		biology	false	false	none	An updated integrative theory of the cognitive map and its neural implementation capturing rapid neural and behavioral a
biorxiv_10.64898_2026.01.04.697576	10.64898/2026.01.04.697576		biology	false	false	none	A snapshot of Joshua tree (Yucca brevifolia and Y. jaegeriana) stand structure in the eastern Mojave Desert of Californi
biorxiv_10.64898_2025.12.12.693928	10.64898/2025.12.12.693928		biology	false	false	none	Multi-Omics Reprogramming Drives a Counterintuitive Reversal of Disease Susceptibility During Ageing
biorxiv_10.64898_2026.01.16.699946	10.64898/2026.01.16.699946		biology	false	false	none	ATM-dependent RHEB phosphorylation couples DNA damage to lysosomal mTORC1 signaling to orchestrate the cellular response
biorxiv_10.64898_2026.01.04.697519	10.64898/2026.01.04.697519		biology	false	false	none	Catestatin ameliorates tauopathy and amyloidogenesis via adrenergic inhibition
biorxiv_10.64898_2025.12.22.695951	10.64898/2025.12.22.695951		biology	false	false	none	Disorganization impairs cognitive maps built from visual inputs
biorxiv_10.1101_2024.11.06.622266	10.1101/2024.11.06.622266		biology	false	false	none	Disentangling cellular heterogeneity into interpretable biological factors through structured latent representations
biorxiv_10.1101_2024.10.23.619813	10.1101/2024.10.23.619813		biology	false	false	none	Biomimetic graphitic carbon nitride nanoparticles enable multiscale biomodulation
biorxiv_10.64898_2026.01.21.700936	10.64898/2026.01.21.700936		biology	false	false	none	cyto: ultra high-throughput processing of 10x-flex single cell sequencing
biorxiv_10.1101_2025.08.28.672793	10.1101/2025.08.28.672793		biology	false	false	none	Organ-confined mRNA delivery and protein expression during ex vivo perfusion of porcine donor kidneys
biorxiv_10.1101_2025.03.11.642631	10.1101/2025.03.11.642631		biology	false	false	none	Revisiting face-to-hand area remapping in the human primary somatosensory cortex after a cervical spinal cord injury
biorxiv_10.64898_2026.03.15.709221	10.64898/2026.03.15.709221		biology	false	false	none	Identification of the Phytophthora PAMP Pep-13 Receptor Using Diploid Potato Inbred Lines
biorxiv_10.64898_2026.01.03.697459	10.64898/2026.01.03.697459		biology	false	false	none	A chloroplast-localized protein AT4G33780 regulates Arabidopsis development and stress-associated responses
biorxiv_10.64898_2026.01.03.697499	10.64898/2026.01.03.697499		biology	false	false	none	LignAmb25: A Comprehensive AMBER Force Field Addressing Lignin's Structural and Chemical Diversity
biorxiv_10.1101_2025.06.27.661923	10.1101/2025.06.27.661923		biology	false	false	none	Functional coherence of bacterial ecospecies
biorxiv_10.1101_2025.01.09.632139	10.1101/2025.01.09.632139		biology	false	false	none	Altered developmental profile of the cortical head-direction signalin a rat model of Fragile X Syndrome
biorxiv_10.64898_2026.01.20.700605	10.64898/2026.01.20.700605		biology	false	false	none	A Novel Method for Normalizing Data from DNA-Encoded Library Selections
biorxiv_10.64898_2026.01.09.698719	10.64898/2026.01.09.698719		biology	false	false	none	Cross-individual translation of spontaneous zebrafish brain activity through a shared latent representation
biorxiv_10.64898_2025.12.30.697076	10.64898/2025.12.30.697076		biology	false	false	none	Tbx1 heterozygosity in the oligodendrocyte lineage has distinct effects on myelinated axons in the fimbria and on behavi
biorxiv_10.64898_2026.01.08.698405	10.64898/2026.01.08.698405		biology	false	false	none	Identification of specific gut bacteria and metabolomic signatures related to Myocardial Insulin Resistance in Type 2 Di
biorxiv_10.64898_2025.12.29.696909	10.64898/2025.12.29.696909		biology	false	false	none	Biochemical and structural characterization of the RlaP family nucleotidyltransferase potentially involved in RNA repair
biorxiv_10.64898_2026.01.23.701263	10.64898/2026.01.23.701263		biology	false	false	none	A Cell Size-Dependent Competition Between Geometry and Polarity Governs Nuclear and Spindle positioning in Early Embryos
biorxiv_10.64898_2026.01.03.697116	10.64898/2026.01.03.697116		biology	false	false	none	Minimally Invasive in Situ Perfusion Method for Targeted AAV Delivery in Native Kidney: Proof of Concept in Pigs
biorxiv_10.64898_2026.01.20.700518	10.64898/2026.01.20.700518		biology	false	false	none	5' UTR length regulates alternative N-terminal protein isoform production in health and disease
biorxiv_10.1101_2025.01.06.631460	10.1101/2025.01.06.631460		biology	false	false	none	Armadillo Repeat Only Proteins Are Essential Activators of Plant CNGC Channels.
biorxiv_10.64898_2026.01.20.700397	10.64898/2026.01.20.700397		biology	false	false	none	Motor learning and adaptation in bird flight
biorxiv_10.1101_2025.09.15.672424	10.1101/2025.09.15.672424		biology	false	false	none	TAFFISH: A lightweight, modular, and containerized workflow framework for reproducible bioinformatics analyses
biorxiv_10.1101_2025.06.24.659690	10.1101/2025.06.24.659690		biology	false	false	none	Coiling in gastropods: a lead to synthesis
biorxiv_10.1101_2025.09.14.676164	10.1101/2025.09.14.676164		biology	false	false	none	Glycolysis-stratified coordination of fatty acid and glutamine metabolism in pancreatic ductal adenocarcinoma
biorxiv_10.64898_2026.01.14.699484	10.64898/2026.01.14.699484		biology	false	false	none	Monounsaturated fatty acid biosynthesis is critical for streptococcal envelope homeostasis and stress tolerance
biorxiv_10.1101_2025.02.17.638013	10.1101/2025.02.17.638013		biology	true	false	biology_category	Microbial metabolism of food allergens determines the severity of IgE-mediated anaphylaxis
biorxiv_10.1101_2025.11.17.688980	10.1101/2025.11.17.688980		biology	false	false	none	Divergent evolution of insecticidal protein families across bacteria and ferns
biorxiv_10.64898_2026.01.06.697873	10.64898/2026.01.06.697873		biology	false	false	none	A Glycaemia-Prolonging Carbohydrate Gel Reduces Hunger and Cognitive Fatigue During Prolonged Esports Play
biorxiv_10.1101_2025.11.03.685977	10.1101/2025.11.03.685977		biology	false	false	none	Ablation of microglial estrogen receptor alpha predisposes to diet-induced obesity in male mice
biorxiv_10.64898_2026.01.16.699876	10.64898/2026.01.16.699876		biology	false	false	none	Bovine-derived influenza A virus (H5N1) shows efficient replication in well-differentiated human nasal epithelial cells 
biorxiv_10.1101_2025.10.04.677962	10.1101/2025.10.04.677962		biology	false	true	none	Cat_Wiz: A stereochemistry-guided toolkit for locating, diagnosing and annotating Mg2+ ions in RNA structures.
biorxiv_10.64898_2026.01.13.699343	10.64898/2026.01.13.699343		biology	false	false	none	Autism associated mutation in Cacna1d causes perseverative behavioral phenotype in mice
biorxiv_10.64898_2026.01.16.699922	10.64898/2026.01.16.699922		biology	true	false	biology_category	Engineering Cybergenetic Cell-Based Therapies
biorxiv_10.64898_2025.12.28.696731	10.64898/2025.12.28.696731		biology	false	false	none	Genomic analysis of extended-spectrum beta-lactamase-producing Enterobacter kobei ST691 strain harboring mcr-10.1 isolat
biorxiv_10.64898_2026.01.09.698707	10.64898/2026.01.09.698707		biology	false	false	none	Cost-effective early detection of banana bunchy top disease: insights from spatio-temporal modelling in Benin
biorxiv_10.64898_2026.01.06.698059	10.64898/2026.01.06.698059		biology	false	false	none	damidBind: an R/Bioconductor package for differential DamID analysis and data exploration
biorxiv_10.64898_2026.01.05.697258	10.64898/2026.01.05.697258		biology	false	false	none	Generating Structurally Diverse Therapeutic Peptides with GFlowNet
biorxiv_10.64898_2026.01.16.699952	10.64898/2026.01.16.699952		biology	false	false	none	Rigor and Transparency in two neurotrauma-publishing journals: editorial policies improve transparent reporting.
biorxiv_10.64898_2025.12.28.696766	10.64898/2025.12.28.696766		biology	false	false	none	Structural basis for non-AUG translation regulation by 5MPs
biorxiv_10.1101_2025.08.18.670774	10.1101/2025.08.18.670774		biology	false	false	none	Ubiquitin Receptor-Induced Proximity is Sufficient for Ubiquitin-Independent Targeted Protein Degradation via the 26S Pr
biorxiv_10.1101_2025.05.09.653036	10.1101/2025.05.09.653036		biology	true	false	biology_category	β-Glucan Modulates Monocyte Plasticity and Differentiation Capacity to Mitigate DSS-Induced Colitis
biorxiv_10.1101_2025.08.01.667725	10.1101/2025.08.01.667725		biology	false	false	none	A SWI/SNF-specific Ig-like domain, SWIFT, is a transcription factor binding platform
