process_id	name	organism	category	circuit_class	tier	tier_reason	total_nodes	edges	loops	gates	gate_nodes	sources	mermaid_len	topology_type	ground_truth
human_bcl2_bax_momp	BCL-2/BAX Mitochondrial Apoptosis Switch	Homo sapiens	Apoptosis	III	B_REVIEW	borderline thin — acceptable topology schematic	6	6	1	1	0	2	488	positive_feedback_momp_bistable	yes
human_bcl6_gc_fate_switch	BCL6 Germinal-Center Fate Switch	Homo sapiens	Adaptive Immunity	III	A_OK	has explicit logic-gate representation	8	8	1	2	0	2	638	bistable_fate_commitment_switch	yes
human_beta_cell_insulin_oscillator	Pancreatic β-Cell Glucose–Insulin Oscillator	Homo sapiens	Endocrine / Metabolic Signaling	IV	A_OK	intentional minimal topology (metabolic_electrical_oscillator)	6	7	2	1	0	1	539	metabolic_electrical_oscillator	yes
human_calcium_oscillator	IP3/Ca²⁺ Oscillator (CICR)	Homo sapiens	Calcium Signaling	IV	A_OK	intentional minimal topology (cicr_pos_neg_feedback_oscillator)	6	7	2	1	0	1	529	cicr_pos_neg_feedback_oscillator	yes
human_camp_pka_desensitization	cAMP/PKA GPCR Desensitization	Homo sapiens	GPCR Signaling	II	A_OK	intentional minimal topology (receptor_desensitization_negative_feedback)	6	7	2	2	0	1	509	receptor_desensitization_negative_feedback	yes
human_cdk1_mitotic_switch	Cdk1–Cdc25–Wee1 Mitotic Trigger	Homo sapiens	Cell Cycle	III	B_REVIEW	borderline thin — acceptable topology schematic	7	8	2	1	0	2	592	interlocked_feedback_bistable_trigger	yes
human_cebpa_myeloid_commitment	C/EBPα Myeloid Commitment Switch	Homo sapiens	Hematopoiesis	III	B_REVIEW	IIIa autoregulation schematic — correct topology, consider adding cofactors	6	6	1	1	0	2	479	master_regulator_positive_feedback_bistable	yes
human_cgas_sting_dna_sensing	cGAS–STING Cytosolic DNA Sensing	Homo sapiens	Innate Immunity	II	A_OK	passes default thresholds	8	8	1	1	0	2	647	induction_with_negative_feedback	yes
human_circadian_clock	Circadian Clock (BMAL1/CLOCK–PER/CRY)	Homo sapiens	Circadian Rhythm	IV	A_OK	intentional minimal topology (transcription_translation_feedback_oscillator)	6	6	1	1	0	1	478	transcription_translation_feedback_oscillator	yes
human_emt_zeb_mir200	EMT ZEB/miR-200 Bistable Switch	Homo sapiens	EMT / Cancer	III	A_OK	has explicit logic-gate representation	8	8	2	3	0	2	640	double_negative_feedback_bistable	yes
human_erk_bistable_switch	ERK/MAPK Ultrasensitive Bistable Switch	Homo sapiens	Growth Factor Signaling	III	B_REVIEW	borderline thin — acceptable topology schematic	7	8	2	0	0	1	541	ultrasensitive_positive_feedback_bistable	yes
human_estrogen_receptor_switch	Estrogen-Receptor Positive-Autoregulation Switch	Homo sapiens	Hormone Signaling	III	B_REVIEW	IIIa autoregulation schematic — correct topology, consider adding cofactors	6	6	1	0	0	1	479	positive_autoregulation_bistable	yes
human_foxp3_treg_switch	Foxp3 Regulatory T-Cell Switch	Homo sapiens	Immune Regulation	III	A_OK	IIIa switch with adequate detail	7	7	1	0	0	2	550	master_regulator_positive_feedback_bistable	yes
human_gata1_pu1_switch	GATA1–PU.1 Hematopoietic Lineage Switch	Homo sapiens	Hematopoiesis	III	A_OK	has explicit logic-gate representation	9	12	4	2	0	2	735	mutual_repression_dual_autoactivation_bistable	yes
human_glucocorticoid_hpa_axis	Glucocorticoid HPA-Axis Feedback	Homo sapiens	Endocrine Signaling	II	A_OK	intentional minimal topology (endocrine_negative_feedback_homeostat)	6	7	1	2	0	1	490	endocrine_negative_feedback_homeostat	yes
human_hes1_oscillator	HES1 Ultradian Oscillator	Homo sapiens	Developmental Signaling	IV	A_OK	intentional minimal topology (delayed_negative_autoregulation_oscillator)	5	5	1	1	0	1	409	delayed_negative_autoregulation_oscillator	yes
human_hippo_yap	Hippo–YAP/TAZ Growth-Control Pathway	Homo sapiens	Growth Control Signaling	II	A_OK	has explicit logic-gate representation	9	9	1	1	1	2	774	kinase_cascade_negative_feedback	yes
human_hsf1_heat_shock	HSF1 Heat-Shock Response with HSP70 Feedback	Homo sapiens	Stress Response	II	A_OK	intentional minimal topology (hsp70_negative_feedback_homeostat)	6	6	1	1	0	1	517	hsp70_negative_feedback_homeostat	yes
human_il6_stat3_inflammation	IL-6/STAT3 Inflammatory Positive-Feedback Switch	Homo sapiens	Inflammatory Signaling	III	A_OK	passes default thresholds	8	9	1	0	0	2	640	positive_feedback_bistable_inflammation	yes
human_ire1_xbp1_upr	IRE1–XBP1 Unfolded Protein Response	Homo sapiens	Proteostasis	II	A_OK	intentional minimal topology (upr_negative_feedback_homeostat)	7	7	1	1	0	1	581	upr_negative_feedback_homeostat	yes
human_irf7_interferon_amplifier	IRF7 Type-I Interferon Amplification Switch	Homo sapiens	Innate Immunity	III	A_OK	passes default thresholds	8	8	1	0	0	2	615	positive_feedback_antiviral_switch	yes
human_iron_irp_ire	IRP/IRE Iron Homeostat	Homo sapiens	Metal Homeostasis	II	B_REVIEW	borderline thin — acceptable topology schematic	7	7	1	1	0	1	584	post_transcriptional_negative_feedback	yes
human_jak_stat_socs	JAK–STAT Signaling with SOCS Feedback	Homo sapiens	Cytokine Signaling	II	B_REVIEW	borderline thin — acceptable topology schematic	7	7	1	1	0	1	577	socs_negative_feedback	yes
human_mtor_ulk1_autophagy	mTOR–ULK1 Autophagy Homeostat	Homo sapiens	Metabolic Signaling	II	A_OK	intentional minimal topology (autophagy_negative_feedback_homeostat)	8	9	1	1	1	1	689	autophagy_negative_feedback_homeostat	yes
human_mtorc1_nutrient	mTORC1 Nutrient Homeostat with S6K Feedback	Homo sapiens	Metabolic Signaling	II	B_REVIEW	borderline thin — acceptable topology schematic	6	6	1	1	0	2	477	s6k_irs_negative_feedback	yes
human_myc_autoregulation	MYC Proliferation Hub with Autosuppression	Homo sapiens	Oncogene Signaling	II	B_REVIEW	borderline thin — acceptable topology schematic	6	6	1	1	0	2	492	negative_autoregulation_hub	yes
human_myod_myogenesis	MyoD Myogenic Determination Switch	Homo sapiens	Myogenesis	III	B_REVIEW	IIIa autoregulation schematic — correct topology, consider adding cofactors	6	6	1	0	0	1	465	positive_autoregulation_bistable	yes
human_nfkb_ikb_oscillator	NF-κB–IκB Inflammatory Oscillator	Homo sapiens	Inflammatory Signaling	IV	A_OK	intentional minimal topology (delayed_negative_feedback_oscillator)	8	8	1	2	0	2	626	delayed_negative_feedback_oscillator	yes
human_nlrp3_inflammasome	NLRP3 Inflammasome All-or-None Switch	Homo sapiens	Innate Immunity / Inflammation	III	A_OK	passes default thresholds	8	8	1	0	0	2	671	nucleation_cooperative_all_or_none_switch	yes
human_notch_delta_lateral_inhibition	Notch–Delta Lateral Inhibition Switch	Homo sapiens	Developmental Patterning	III	B_REVIEW	borderline thin — acceptable topology schematic	6	7	2	1	0	1	534	intercellular_mutual_inhibition_bistable	yes
human_nrf2_keap1	NRF2–KEAP1 Oxidative-Stress Homeostat	Homo sapiens	Stress Response	II	A_OK	intentional minimal topology (keap1_negative_feedback_homeostat)	8	8	1	1	1	1	631	keap1_negative_feedback_homeostat	yes
human_oct4_sox2_nanog_pluripotency	OCT4–SOX2–NANOG Pluripotency Core	Homo sapiens	Stem Cell / Pluripotency	III	B_REVIEW	borderline thin — acceptable topology schematic	7	8	2	1	0	2	590	interlocked_positive_feedback_bistable	yes
human_p16_rb_senescence	p16–Rb Senescence Commitment Switch	Homo sapiens	Senescence	III	A_OK	has explicit logic-gate representation	7	7	1	2	0	1	583	positive_feedback_irreversible_senescence	yes
human_p53_apoptosis_decision	p53 Arrest-vs-Apoptosis Decision Switch	Homo sapiens	DNA Damage Response	III	A_OK	has explicit logic-gate representation	7	7	1	0	1	2	575	threshold_bistable_decision	yes
human_p53_mdm2	p53–MDM2 DNA-Damage Response Oscillator	Homo sapiens	Tumor Suppressor	IV	A_OK	intentional minimal topology (delayed_negative_feedback_oscillator)	7	7	1	1	0	2	553	delayed_negative_feedback_oscillator	yes
human_pd1_pdl1_checkpoint	PD-1/PD-L1 Immune Checkpoint	Homo sapiens	Immune Checkpoint	II	A_OK	has explicit logic-gate representation	6	6	1	2	0	1	525	inhibitory_negative_feedback	yes
human_perk_atf4_isr	PERK–ATF4 Integrated Stress Response	Homo sapiens	Proteostasis / Stress	II	A_OK	intentional minimal topology (translational_negative_feedback_homeostat)	6	6	1	1	0	1	522	translational_negative_feedback_homeostat	yes
human_pten_pi3k_akt	PTEN–PI3K–AKT Tumor-Suppressor Homeostat	Homo sapiens	Growth Factor Signaling	II	A_OK	intentional minimal topology (pten_negative_feedback_homeostat)	7	7	2	1	0	1	565	pten_negative_feedback_homeostat	yes
human_rb_e2f_restriction_point	Rb–E2F Restriction-Point Switch	Homo sapiens	Cell Cycle	III	A_OK	has explicit logic-gate representation	6	6	2	3	0	1	495	double_negative_positive_feedback_bistable	yes
human_rig_i_mavs_antiviral	RIG-I/MAVS Antiviral Switch	Homo sapiens	Innate Immunity	III	A_OK	has explicit logic-gate representation	9	9	1	1	1	2	742	feedback_amplified_all_or_none_switch	yes
human_scl_tal1_hematopoietic_switch	SCL/TAL1 Hematopoietic Master Switch	Homo sapiens	Hematopoiesis	III	A_OK	IIIa switch with adequate detail	7	7	1	0	0	2	565	master_regulator_positive_feedback_bistable	yes
human_shh_gli	Sonic Hedgehog–GLI Morphogen Pathway	Homo sapiens	Developmental Signaling	II	A_OK	has explicit logic-gate representation	9	9	1	1	1	1	700	ptch1_negative_feedback_morphogen	yes
human_snail_mir34_emt	SNAIL/miR-34 EMT Switch	Homo sapiens	EMT / Cancer	III	A_OK	has explicit logic-gate representation	7	8	2	3	0	1	550	double_negative_feedback_bistable	yes
human_tbet_gata3_th1_th2	T-bet–GATA3 Th1/Th2 Lineage Switch	Homo sapiens	Immune Differentiation	III	A_OK	has explicit logic-gate representation	9	12	4	2	0	1	723	mutual_repression_dual_autoactivation_bistable	yes
human_tgfbeta_smad	TGF-β–SMAD Signaling with SMAD7 Feedback	Homo sapiens	Developmental Signaling	II	A_OK	passes default thresholds	8	8	1	1	0	1	646	smad7_negative_feedback	yes
human_tlr4_lps_amplification	TLR4/LPS Inflammatory Amplifier	Homo sapiens	Innate Immunity	III	A_OK	passes default thresholds	9	10	1	1	0	2	711	positive_feedback_amplifier_switch	yes
human_tnf_survival_death_decision	TNF Survival-vs-Death Decision Switch	Homo sapiens	Cell-Fate Signaling	III	A_OK	has explicit logic-gate representation	7	7	0	1	1	1	563	bistable_competing_outputs_decision	yes
human_vhl_hif_oxygen_sensing	VHL–HIF Oxygen-Sensing Homeostat	Homo sapiens	Hypoxia Signaling	II	A_OK	intentional minimal topology (phd_vhl_negative_feedback_homeostat)	9	9	1	1	1	1	713	phd_vhl_negative_feedback_homeostat	yes
human_wnt_beta_catenin	Wnt–β-catenin Destruction-Complex Switch	Homo sapiens	Developmental Signaling	II	A_OK	has explicit logic-gate representation	8	8	1	1	1	1	659	destruction_complex_negative_feedback	yes
mouse_gata1_spi1_switch	Mouse GATA1–SPI1 Hematopoietic Switch	Mus musculus	Hematopoiesis	III	A_OK	has explicit logic-gate representation	9	12	4	2	0	2	724	mutual_repression_dual_autoactivation_bistable	yes
mouse_p53_mdm2_oscillator	Mouse p53–Mdm2 Oscillator	Mus musculus	DNA Damage Response	IV	A_OK	intentional minimal topology (delayed_negative_feedback_oscillator)	6	6	1	1	0	2	471	delayed_negative_feedback_oscillator	yes
mouse_sox2_oct4_pluripotency	Mouse Sox2–Oct4 Pluripotency Switch	Mus musculus	Pluripotency	III	B_REVIEW	borderline thin — acceptable topology schematic	7	11	2	0	0	2	608	mutual_activation_positive_feedback_bistable	yes
synthetic_5node_repressilator	Five-Repressor Ring Oscillator	Synthetic circuit	Synthetic Biology	IV	A_OK	intentional synthetic ground-truth	6	6	1	5	0	2	454	odd_ring_oscillator_delayed_neg_feedback	yes
synthetic_and_gate	Transcriptional AND Gate (hrpR/hrpS)	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	7	6	0	1	1	1	532	transcriptional_AND_gate	yes
synthetic_antithetic_integral_feedback	Antithetic Integral-Feedback Controller	Synthetic circuit	Synthetic Biology	II	A_OK	intentional synthetic ground-truth	7	7	1	1	0	2	552	antithetic_integral_feedback	yes
synthetic_atkinson_oscillator	Atkinson Relaxation Oscillator	Synthetic circuit	Synthetic Biology	IV	A_OK	intentional synthetic ground-truth	5	6	2	1	0	1	432	coupled_pos_neg_feedback_oscillator	yes
synthetic_band_detector	Band-Pass / Edge Detector (Basu 2005)	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	7	7	0	2	1	1	598	incoherent_feed_forward_band_pass	yes
synthetic_burden_feedback_controller	Capacity/Burden Feedback Controller	Synthetic circuit	Synthetic Biology	II	A_OK	intentional synthetic ground-truth	6	6	1	2	0	1	541	burden_negative_feedback_homeostat	yes
synthetic_coherent_ffl	Coherent Feed-Forward Loop (type-1, AND)	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	6	6	0	1	1	2	452	coherent_feed_forward_AND	yes
synthetic_consortium_logic	Distributed Multicellular Consortium Logic	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	6	5	0	1	0	1	501	distributed_combinational_logic	yes
synthetic_crispr_recorder	CRISPR DNA Event Recorder	Synthetic circuit	Synthetic Biology	V	A_OK	intentional synthetic ground-truth	6	5	0	0	0	2	497	self_modifying_dna_recorder	yes
synthetic_crispra_layered_logic	CRISPRa Layered Activation Logic	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	5	4	0	1	0	2	424	crispra_layered_combinational_logic	yes
synthetic_crispri_toggle	CRISPRi Mutual-Repression Toggle	Synthetic circuit	Synthetic Biology	III	A_OK	intentional synthetic ground-truth	7	8	2	2	0	1	550	mutual_repression_bistable_crispri	yes
synthetic_dcas9_logic	CRISPR-dCas9 Programmable Logic	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	5	4	0	1	0	1	407	crispr_layered_combinational_logic	yes
synthetic_edge_detector	Multicellular Edge Detector	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	6	6	0	1	1	1	494	feed_forward_AND_edge_detection	yes
synthetic_fold_change_detector	Incoherent-FFL Fold-Change Detector	Synthetic circuit	Synthetic Biology	II	A_OK	intentional synthetic ground-truth	6	6	0	1	1	1	486	incoherent_ffl_fold_change_detection	yes
synthetic_incoherent_ffl	Incoherent Feed-Forward Loop (type-1, pulse)	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	7	7	0	2	1	2	542	incoherent_feed_forward_pulse	yes
synthetic_integrase_memory	Integrase Recombinase Permanent Memory	Synthetic circuit	Synthetic Biology	V	A_OK	intentional synthetic ground-truth	6	5	0	0	0	2	467	self_modifying_dna_recombinase_memory	yes
synthetic_layered_nor_cascade	Layered NOR Logic Cascade (Cello)	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	5	4	0	2	0	1	370	layered_combinational_NOR_logic	yes
synthetic_light_sensor	Light Sensor (Bacterial Photography)	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	5	4	0	1	0	1	407	photoreceptor_feed_forward_sensor	yes
synthetic_metabolator	Metabolator (synthetic metabolic oscillator)	Synthetic circuit	Synthetic Biology	IV	A_OK	intentional synthetic ground-truth	6	7	2	1	0	1	516	metabolic_delayed_negative_feedback_oscillator	yes
synthetic_mutual_activation_bistable	Double-Positive Mutual-Activation Switch	Synthetic circuit	Synthetic Biology	III	A_OK	intentional synthetic ground-truth	6	6	2	0	0	1	441	double_positive_feedback_bistable	yes
synthetic_negative_autoregulation	Negative Autoregulation (NAR motif)	Synthetic circuit	Synthetic Biology	II	A_OK	intentional synthetic ground-truth	6	6	1	1	1	2	504	negative_autoregulation	yes
synthetic_nor_gate	Transcriptional NOR Gate	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	6	5	0	2	1	1	439	transcriptional_NOR_gate	yes
synthetic_optogenetic_toggle	Optogenetic Bistable Toggle (Light Memory)	Synthetic circuit	Synthetic Biology	III	A_OK	intentional synthetic ground-truth	6	6	2	2	0	2	453	mutual_repression_bistable_light_switchable	yes
synthetic_or_gate	Transcriptional OR Gate (tandem promoters)	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	5	4	0	1	1	1	382	transcriptional_OR_gate	yes
synthetic_phosphorelay_and	Phosphorelay AND Gate	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	7	6	0	1	1	1	524	phosphorelay_combinational_and	yes
synthetic_population_control	Quorum-Sensing Population Control (You 2004)	Synthetic circuit	Synthetic Biology	II	A_OK	intentional synthetic ground-truth	7	7	1	1	0	1	549	quorum_sensing_negative_feedback	yes
synthetic_positive_autoregulation	Positive Autoregulation (PAR motif)	Synthetic circuit	Synthetic Biology	III	A_OK	intentional synthetic ground-truth	6	6	1	0	1	2	492	positive_autoregulation	yes
synthetic_protease_and_gate	Protease-Based Post-Translational AND Gate	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	7	6	0	1	1	1	565	protease_combinational_and	yes
synthetic_recombinase_counter	Recombinase DNA Counter / State Machine	Synthetic circuit	Synthetic Biology	V	A_OK	intentional synthetic ground-truth	6	5	0	0	0	2	494	self_modifying_dna_state_machine	yes
synthetic_repressilator	Repressilator (3-repressor ring oscillator)	Synthetic circuit	Synthetic Biology	IV	A_OK	intentional synthetic ground-truth	7	7	1	3	0	1	504	ring_oscillator_delayed_neg_feedback	yes
synthetic_rna_attenuator	RNA Transcriptional Attenuator Logic	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	5	4	0	1	1	1	411	rna_cis_antisense_feed_forward	yes
synthetic_sender_receiver_qs	Sender–Receiver Quorum-Sensing Relay	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	6	5	0	0	0	1	448	intercellular_feed_forward_relay	yes
synthetic_stricker_oscillator	Stricker Fast Dual-Feedback Oscillator	Synthetic circuit	Synthetic Biology	IV	A_OK	intentional synthetic ground-truth	7	8	2	1	0	1	572	dual_feedback_oscillator	yes
synthetic_synchronized_qs_oscillator	Synchronized Quorum-of-Clocks Oscillator	Synthetic circuit	Synthetic Biology	IV	A_OK	intentional synthetic ground-truth	6	7	2	1	0	1	516	quorum_coupled_delayed_neg_feedback_oscillator	yes
synthetic_theophylline_riboswitch	Theophylline Riboswitch (ligand-gated translation)	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	6	5	0	0	0	1	458	rna_ligand_gated_translation	yes
synthetic_three_input_and	Three-Input Transcriptional AND Gate	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	8	7	0	2	2	1	596	layered_transcriptional_AND	yes
synthetic_toehold_riboregulator	Toehold Switch Riboregulator	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	6	5	0	0	0	1	464	rna_trans_translational_activation	yes
synthetic_toggle_switch	Genetic Toggle Switch (Gardner-Collins)	Synthetic circuit	Synthetic Biology	III	A_OK	intentional synthetic ground-truth	10	10	2	2	0	1	797	mutual_repression_bistable	yes
synthetic_xor_gate	Recombinase Boolean XOR Gate	Synthetic circuit	Synthetic Biology	I	A_OK	intentional synthetic ground-truth	6	5	0	2	1	1	453	recombinase_combinational_logic	yes
yeast_gal_bistable_switch	Galactose Network Bistable Switch (GAL)	S. cerevisiae	Carbon Metabolism / Bistability	III	A_OK	passes default thresholds	7	7	1	1	0	1	573	positive_feedback_bistable_hysteresis	yes
yeast_sup35_prion	[PSI+] Sup35 Prion Epigenetic Memory	S. cerevisiae	Epigenetic Inheritance	V	A_OK	intentional minimal topology (self_templating_conformational_memory)	6	6	1	0	0	2	531	self_templating_conformational_memory	yes
yeast_whi5_sbf_start	Whi5–SBF Start Commitment Switch	S. cerevisiae	Cell Cycle	III	A_OK	passes default thresholds	7	7	1	1	0	1	563	double_negative_positive_feedback_bistable	yes
