process_id	organism	category	name	circuit_class	class_name	topology_type	rationale	evidence_source	confidence	needs_review	has_graph_cycle	not_gates
ecoli_e._coli_stringent_response	E. coli	Biological Process	E. coli Stringent Response	II	Negative feedback (homeostatic)	ppGpp_feedback	ppGpp-mediated growth-rate negative feedback	curated_literature	high	no	no	4
ecoli_e._coli_two_component_signaling	E. coli	Signal Transduction	Two-Component Signal Transduction (EnvZ-OmpR Paradigm)	II	Negative feedback (homeostatic)	envz_ompr_homeostasis	EnvZ-OmpR two-component homeostatic control	curated_literature	high	no	no	5
ecoli_envelope_stress_response	E. coli	Stress Response	E. coli Envelope Stress Response	II	Negative feedback (homeostatic)	cpx_neg_feedback	Cpx envelope-stress negative feedback	curated_literature	high	no	no	5
ecoli_fatty_acid_degradation	E. coli	Metabolic Pathway	Fatty Acid β-Oxidation and Regulation	I	Feed-forward cascade	beta_oxidation_execution	Fatty-acid β-oxidation execution pathway (FadR regulation handled separately)	curated_literature	high	no	no	7
ecoli_fatty_acid_synthesis	E. coli	Metabolic Pathway	Fatty Acid Synthesis (Type II FAS)	I	Feed-forward cascade	fas_execution	Type II fatty-acid synthesis execution pathway	curated_literature	high	no	no	4
ecoli_flagellar_assembly	E. coli	Developmental Program	Flagellar Assembly and FlhDC Regulation	I	Feed-forward cascade	flhDC_feed_forward_cascade	Flagellar gene expression is an FlhDC→σ28 temporal feed-forward cascade (just-in-time program; Kalir et al. 2001), not a bistable switch	curated_literature	high	no	no	1
ecoli_glycolysis	E. coli	Metabolic Pathway	Glycolysis (Embden-Meyerhof-Parnas Pathway)	I	Feed-forward cascade	glycolysis_execution	Embden-Meyerhof-Parnas glycolysis: linear catabolic execution pathway (allostery noted, no transcriptional feedback loop in chart)	curated_literature	high	no	no	1
ecoli_heat_shock_response	E. coli	Stress Response	Heat Shock Response and Protein Quality Control	II	Negative feedback (homeostatic)	chaperone_neg_feedback	Chaperone-mediated negative feedback (protein quality control)	curated_literature	high	no	yes	2
ecoli_heavy_metal_resistance	E. coli	Stress Response	Heavy Metal Resistance (Copper and Zinc Homeostasis)	II	Negative feedback (homeostatic)	metal_homeostasis	Cu/Zn efflux homeostasis	curated_literature	high	no	no	7
ecoli_homologous_recombination	E. coli	DNA Repair	Homologous Recombination	I	Feed-forward cascade	recombination_execution	RecBCD/RecA homologous-recombination execution pathway	curated_literature	high	no	no	5
ecoli_iron_homeostasis	E. coli	Biological Process	Iron Homeostasis	II	Negative feedback (homeostatic)	fur_neg_feedback	Fur-mediated iron homeostasis	curated_literature	high	no	no	11
ecoli_lac_operon	E. coli	Gene Regulation	Lac Operon Regulation	II	Negative feedback (homeostatic)	repressor_catabolite_neg_feedback	LacI repression + CAP activation; allolactose-mediated negative feedback (Jacob-Monod)	curated_literature	high	no	no	6
ecoli_mal_regulon	E. coli	Metabolic Regulation	Maltose Regulon and Multi-Operon Coordination	II	Negative feedback (homeostatic)	metabolic_neg_feedback	Regulatory metabolic circuits are predominantly negative feedback	category_default	medium	yes	no	1
ecoli_mismatch_repair	E. coli	DNA Repair	DNA Mismatch Repair (MMR)	I	Feed-forward cascade	mmr_execution	Methyl-directed mismatch-repair execution pathway	curated_literature	high	no	no	6
ecoli_nitrogen_assimilation	E. coli	Metabolic Regulation	Nitrogen Assimilation and Ntr Regulation	II	Negative feedback (homeostatic)	ntr_homeostasis	Ntr (NtrBC) nitrogen homeostasis	curated_literature	high	no	no	0
ecoli_nucleotide_biosynthesis	E. coli	Metabolic Pathway	Nucleotide Biosynthesis (Purine and Pyrimidine Synthesis)	II	Negative feedback (homeostatic)	end_product_feedback_inhibition	Purine/pyrimidine biosynthesis feedback-inhibited by end-products (ATP/GTP, CTP/UTP) — corrected from pathway default	curated_literature	high	no	no	2
ecoli_nucleotide_excision_repair	E. coli	DNA Repair	Nucleotide Excision Repair (NER)	I	Feed-forward cascade	ner_execution	Nucleotide-excision-repair execution pathway	curated_literature	high	no	no	0
ecoli_outer_membrane_assembly	E. coli	Protein Transport	Outer Membrane Protein Assembly via BAM Complex	I	Feed-forward cascade	bam_assembly_execution	BAM-complex outer-membrane-protein assembly execution	curated_literature	high	no	no	5
ecoli_oxidative_stress_response	E. coli	Stress Response	Oxidative Stress Response (OxyR and SoxRS)	II	Negative feedback (homeostatic)	oxyR_soxRS_autoregulation	OxyR / SoxRS negative autoregulation restores redox homeostasis	curated_literature	high	no	no	2
ecoli_pentose_phosphate_pathway	E. coli	Metabolic Pathway	Pentose Phosphate Pathway (Oxidative and Non-oxidative)	I	Feed-forward cascade	ppp_execution	Pentose phosphate execution pathway	curated_literature	high	no	no	2
ecoli_peptidoglycan_biosynthesis	E. coli	Cell Wall Biogenesis	Peptidoglycan Biosynthesis and Cell Wall Assembly	I	Feed-forward cascade	pg_biosynthesis_execution	Peptidoglycan biosynthesis execution pathway	curated_literature	high	no	no	4
ecoli_periplasmic_stress	E. coli	Stress Response	Periplasmic and Membrane Stress (Cpx Response)	II	Negative feedback (homeostatic)	cpx_neg_feedback	Cpx periplasmic-stress negative feedback	curated_literature	high	no	no	10
ecoli_phage_defense	E. coli	Innate Immunity	Bacteriophage Defense Systems (R-M and CRISPR)	I	Feed-forward cascade	rm_crispr_execution	Restriction-modification / CRISPR defense execution pathway	curated_literature	high	no	no	5
ecoli_pho_regulon	E. coli	Metabolic Regulation	Phosphate Starvation Response (Pho Regulon)	II	Negative feedback (homeostatic)	phosphate_homeostasis	PhoBR phosphate-starvation homeostasis	curated_literature	high	no	no	1
ecoli_phosphate_regulation	E. coli	Gene Regulation	Phosphate Regulation	II	Negative feedback (homeostatic)	phoBR_homeostasis	PhoB/PhoR phosphate-starvation homeostasis	curated_literature	high	no	no	6
ecoli_phosphate_transport	E. coli	Nutrient Transport	Phosphate Transport via Pst and Pit Systems	I	Feed-forward cascade	transport_execution	Pst/Pit phosphate-transport execution	curated_literature	high	no	yes	4
ecoli_protein_folding_chaperones	E. coli	Biological Process	Protein Folding Chaperones	I	Feed-forward cascade	folding_execution	Chaperone-assisted protein-folding execution	curated_literature	high	no	no	4
ecoli_quorum_sensing	E. coli	Signal Transduction	E. coli Quorum Sensing	III	Bistable switch / positive feedback	autoinducer_positive_feedback	Autoinducer positive-feedback population switch	curated_literature	high	no	no	5
ecoli_ribosome_assembly	E. coli	Translation Machinery	Ribosome Assembly and Maturation	I	Feed-forward cascade	ribosome_assembly_execution	Ribosome assembly/maturation execution pathway	curated_literature	high	no	no	2
ecoli_rna_polymerase_recycling	E. coli	Gene Expression	RNA Polymerase Recycling and Reinitiation	I	Feed-forward cascade	rnap_recycling_execution	RNA-polymerase recycling/reinitiation execution	curated_literature	high	no	no	3
ecoli_sigma_factor_competition	E. coli	Gene Regulation	Sigma Factor Competition and Global Transcriptional Control	II	Negative feedback (homeostatic)	regulatory_feedback	Regulatory loci typically carry repressive/feedback control	category_default	medium	yes	no	1
ecoli_sos_response	E. coli	DNA Repair	E. coli SOS Response	II	Negative feedback (homeostatic)	lexA_recA_neg_feedback	SOS response: LexA repression with RecA*-coactivated LexA autocleavage; repression restored after repair (negative feedback) — corrected from repair-execution default	curated_literature	high	no	no	7
ecoli_starvation_response	E. coli	Stress Response	General Starvation Response (RpoS/σS)	II	Negative feedback (homeostatic)	rpoS_homeostasis	RpoS general stress homeostasis	curated_literature	high	no	no	10
ecoli_stringent_response	E. coli	Stress Response	Stringent Response and ppGpp-Mediated Growth Control	II	Negative feedback (homeostatic)	ppGpp_feedback	ppGpp-mediated growth-rate negative feedback	curated_literature	high	no	no	1
ecoli_sulfur_metabolism	E. coli	Metabolic Pathway	Sulfur Assimilation and Cysteine Biosynthesis	II	Negative feedback (homeostatic)	cysB_end_product_feedback	Cysteine biosynthesis: CysB activation with end-product (cysteine) feedback	curated_literature	high	no	no	5
ecoli_tca_cycle	E. coli	Metabolic Pathway	Tricarboxylic Acid Cycle (TCA/Krebs Cycle)	I	Feed-forward cascade	tca_execution_cycle	TCA cycle is a metabolic execution cycle (mass flow), not a regulatory feedback circuit	curated_literature	high	no	no	0
ecoli_transcription_elongation	E. coli	Gene Expression	Transcription Elongation	I	Feed-forward cascade	transcription_machinery	Transcription elongation execution machinery	curated_literature	high	no	no	7
ecoli_transcription_regulation	E. coli	Gene Expression	Transcription Initiation and Regulation	I	Feed-forward cascade	expression_feed_forward	Transcription/expression execution machinery	category_default	medium	yes	no	3
ecoli_transcription_termination	E. coli	Gene Expression	Transcription Termination	I	Feed-forward cascade	transcription_termination	Rho-dependent / intrinsic termination execution	curated_literature	high	no	no	10
ecoli_translation_elongation	E. coli	Protein Synthesis	Translation Elongation	I	Feed-forward cascade	translation_machinery	Translation elongation execution machinery	curated_literature	high	no	no	2
ecoli_translation_initiation	E. coli	Protein Synthesis	Translation Initiation	I	Feed-forward cascade	translation_machinery	Translation initiation execution machinery	curated_literature	high	no	yes	7
ecoli_translation_termination	E. coli	Protein Synthesis	Translation Termination and Ribosome Recycling	I	Feed-forward cascade	translation_machinery	Translation termination & ribosome recycling execution	curated_literature	high	no	no	6
ecoli_trp_operon	E. coli	Gene Regulation	Tryptophan Operon with Attenuation	II	Negative feedback (homeostatic)	repression_attenuation	Trp repressor + transcriptional attenuation: end-product negative feedback	curated_literature	high	no	no	9
ecoli_tryptophan_biosynthesis	E. coli	Metabolic Pathway	Tryptophan Biosynthesis via Anthranilate	II	Negative feedback (homeostatic)	end_product_feedback_inhibition	Tryptophan feedback-inhibits its own biosynthetic pathway	curated_literature	high	no	no	8
ecoli_two_component_signaling	E. coli	Signal Transduction	Two-Component Signal Transduction (EnvZ-OmpR)	II	Negative feedback (homeostatic)	envz_ompr_homeostasis	EnvZ-OmpR two-component homeostatic control	curated_literature	high	no	no	1
ecoli_type_iii_secretion	E. coli	Protein Transport	E. coli Type III Secretion System	I	Feed-forward cascade	t3ss_execution	Type III secretion assembly/export execution	curated_literature	high	no	no	3
yeast_aerobic_respiration	S. cerevisiae	Metabolic Pathway	Aerobic Respiration and Oxidative Phosphorylation	I	Feed-forward cascade	oxphos_execution	Respiration / oxidative-phosphorylation execution chain	curated_literature	high	no	no	5
yeast_alcoholic_fermentation	S. cerevisiae	Metabolic Pathway	Alcoholic Fermentation (Ethanol Production)	I	Feed-forward cascade	fermentation_execution	Alcoholic fermentation execution pathway	curated_literature	high	no	no	3
yeast_autophagy	S. cerevisiae	Protein Quality Control	Yeast Autophagy	I	Feed-forward cascade	autophagy_execution	Autophagy execution pathway	curated_literature	high	no	no	6
yeast_cell_cycle_checkpoints	S. cerevisiae	Cell Cycle	Cell Cycle Checkpoints and Surveillance	IV	Delayed negative feedback (oscillator)	cell_cycle_oscillator_checkpoints	Cell-cycle oscillator gated by checkpoint feedback	curated_literature	high	no	no	14
yeast_cell_cycle_control	S. cerevisiae	Cell Cycle	Cell Cycle Control and CDK Regulation	IV	Delayed negative feedback (oscillator)	cdk_cyclin_oscillator	CDK-cyclin oscillator with transcription-degradation delay	curated_literature	high	no	no	1
yeast_cell_wall_integrity	S. cerevisiae	Stress Response	Cell Wall Integrity (CWI) Pathway and Pkc1 Signaling	II	Negative feedback (homeostatic)	cwi_neg_feedback	Pkc1-CWI homeostatic feedback	curated_literature	high	no	no	3
yeast_chromatin_silencing	S. cerevisiae	Gene Regulation	Chromatin Silencing at Telomeres and HM Loci	V	Self-modifying chromatin / epigenetic	sir_heterochromatin_self_propagating	Sir2/3/4 self-propagating heterochromatin; epigenetic memory	curated_literature	high	no	no	18
yeast_dna_replication	S. cerevisiae	DNA Replication	DNA Replication and Origin Licensing	I	Feed-forward cascade	replication_machinery	Replication & origin-licensing execution machinery	curated_literature	high	no	no	5
yeast_er_stress_response	S. cerevisiae	Stress Response	ER Stress Response and Unfolded Protein Response	II	Negative feedback (homeostatic)	upr_neg_feedback	ER-stress UPR negative feedback	curated_literature	high	no	no	3
yeast_gal_regulation	S. cerevisiae	Gene Regulation	GAL Gene Regulation	III	Bistable switch / positive feedback	gal_positive_feedback_bistable	Gal3/Gal80 positive feedback; classic bistable GAL switch	curated_literature	high	no	no	5
yeast_gcn4_starvation	S. cerevisiae	Stress Response	Gcn4 Amino Acid Starvation Response (GAAC)	II	Negative feedback (homeostatic)	gcn2_eif2a_neg_feedback	GAAC: Gcn2-eIF2α-Gcn4 amino-acid-starvation negative feedback	curated_literature	high	no	no	5
yeast_glycolysis	S. cerevisiae	Metabolic Pathway	Glycolysis and Glucose Metabolism	I	Feed-forward cascade	glycolysis_execution	Glycolysis execution pathway	curated_literature	high	no	no	3
yeast_heat_shock_response	S. cerevisiae	Stress Response	Heat Shock Response	II	Negative feedback (homeostatic)	hsf1_neg_feedback	Hsf1 negative feedback via chaperone titration	curated_literature	high	no	yes	2
yeast_hog_pathway	S. cerevisiae	Signal Transduction	HOG Pathway (High Osmolarity Glycerol Response)	II	Negative feedback (homeostatic)	hog_osmoadaptation_neg_feedback	HOG MAPK osmoadaptation with negative feedback	curated_literature	high	no	no	6
yeast_mapk_mating	S. cerevisiae	Signal Transduction	MAPK Pheromone Response Pathway (Mating)	III	Bistable switch / positive feedback	fus3_switch	Pheromone MAPK mating commitment switch	curated_literature	high	no	no	5
yeast_mating_response	S. cerevisiae	Signal Transduction	Yeast Mating Response	III	Bistable switch / positive feedback	fus3_switch	Pheromone MAPK mating commitment switch	curated_literature	high	no	no	7
yeast_mating_type_switching	S. cerevisiae	Gene Regulation	Mating Type Switching and HO Endonuclease Control	V	Self-modifying chromatin / epigenetic	silencing_recombination	HM-locus epigenetic silencing + HO-directed cassette switching	curated_literature	high	no	no	2
yeast_meiosis_regulation	S. cerevisiae	Developmental Decision	Meiosis Initiation and IME1 Regulation	III	Bistable switch / positive feedback	ime1_commitment_bistable	IME1 bistable meiotic commitment	curated_literature	high	no	no	8
yeast_mitochondrial_biogenesis	S. cerevisiae	Organelle Biology	Mitochondrial Biogenesis and Retrograde Signaling	I	Feed-forward cascade	mito_biogenesis_execution	Mitochondrial biogenesis execution (retrograde signaling separate)	curated_literature	high	no	no	5
yeast_mitochondrial_import	S. cerevisiae	Protein Transport	Yeast Mitochondrial Protein Import	I	Feed-forward cascade	mito_import_execution	TOM/TIM mitochondrial-import execution	curated_literature	high	no	no	1
yeast_nitrogen_metabolism	S. cerevisiae	Metabolic Regulation	Nitrogen Catabolite Repression (NCR) and TORC1 Signaling	II	Negative feedback (homeostatic)	ncr_torc1_homeostasis	Nitrogen catabolite repression via TORC1; homeostatic	curated_literature	high	no	no	5
yeast_nucleotide_excision_repair	S. cerevisiae	DNA Repair	Nucleotide Excision Repair (NER) Pathway	I	Feed-forward cascade	ner_execution	NER execution pathway	curated_literature	high	no	no	0
yeast_osmotic_stress_response	S. cerevisiae	Stress Response	Osmotic Stress Response	II	Negative feedback (homeostatic)	osmoadaptation_neg_feedback	Glycerol-based osmoadaptation negative feedback	curated_literature	high	no	yes	1
yeast_oxidative_stress_response	S. cerevisiae	Stress Response	Oxidative Stress Response	II	Negative feedback (homeostatic)	yap1_neg_feedback	Yap1 redox homeostasis	curated_literature	high	no	no	3
yeast_pka_pathway	S. cerevisiae	Signal Transduction	cAMP-PKA Pathway (Glucose Sensing and Growth Control)	II	Negative feedback (homeostatic)	camp_pka_neg_feedback	Ras-cAMP-PKA growth signaling with PDE-mediated negative feedback	curated_literature	high	no	no	8
yeast_protein_folding	S. cerevisiae	Biological Process	Protein Folding	I	Feed-forward cascade	folding_execution	Chaperone-assisted protein-folding execution	curated_literature	high	no	no	7
yeast_ribosome_biogenesis	S. cerevisiae	Gene Expression	Ribosome Biogenesis and rRNA Processing	I	Feed-forward cascade	ribosome_biogenesis_execution	Ribosome biogenesis / rRNA-processing execution	curated_literature	high	no	yes	3
yeast_rna_splicing	S. cerevisiae	Gene Expression	Pre-mRNA Splicing by the Spliceosome	I	Feed-forward cascade	spliceosome_execution	Spliceosomal pre-mRNA splicing execution	curated_literature	high	no	no	2
yeast_snf1_pathway	S. cerevisiae	Signal Transduction	Snf1/AMPK Energy Sensing Pathway	II	Negative feedback (homeostatic)	snf1_energy_homeostasis	Snf1/AMPK energy-homeostasis negative feedback	curated_literature	high	no	no	10
yeast_tor_signaling	S. cerevisiae	Signal Transduction	TOR Signaling Pathway (Nutrient Sensing)	II	Negative feedback (homeostatic)	tor_nutrient_homeostasis	TORC1 nutrient-sensing homeostatic feedback	curated_literature	high	no	no	15
yeast_ubiquitin_proteasome	S. cerevisiae	Protein Quality Control	Ubiquitin-Proteasome System and Protein Degradation	I	Feed-forward cascade	ups_execution	Ubiquitin-proteasome degradation execution	curated_literature	high	no	no	4
yeast_unfolded_protein_response	S. cerevisiae	Stress Response	Yeast Unfolded Protein Response (UPR)	II	Negative feedback (homeostatic)	ire1_hac1_neg_feedback	Ire1-Hac1 UPR negative feedback	curated_literature	high	no	no	6
yeast_vesicle_trafficking	S. cerevisiae	Protein Transport	Vesicle Trafficking and COPII-Mediated ER-to-Golgi Transport	I	Feed-forward cascade	copii_execution	COPII ER-to-Golgi vesicle-trafficking execution	curated_literature	high	no	no	3
yeast_yeast_cell_polarity	S. cerevisiae	Biological Process	Yeast Cell Polarity	III	Bistable switch / positive feedback	cdc42_positive_feedback_polarity	Cdc42 GTPase positive-feedback symmetry breaking (spontaneous polarization; Wedlich-Söldner et al.) — corrected from generic default	curated_literature	high	no	no	1
yeast_yeast_er_associated_degradation	S. cerevisiae	Biological Process	Yeast ER-Associated Degradation	I	Feed-forward cascade	erad_execution	ER-associated degradation (ERAD) execution	curated_literature	high	no	no	1
yeast_yeast_glycolysis_regulation	S. cerevisiae	Gene Regulation	Yeast Glycolysis Regulation	II	Negative feedback (homeostatic)	regulatory_feedback	Regulatory loci typically carry repressive/feedback control	category_default	medium	yes	no	1
yeast_yeast_peroxisome_biogenesis	S. cerevisiae	Biological Process	Yeast Peroxisome Biogenesis	I	Feed-forward cascade	peroxisome_execution	Peroxisome biogenesis execution	curated_literature	high	no	yes	0
yeast_yeast_vacuolar_protein_sorting	S. cerevisiae	Biological Process	Yeast Vacuolar Protein Sorting	I	Feed-forward cascade	vps_execution	Vacuolar protein sorting execution	curated_literature	high	no	no	3
